p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
 , , ,100,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5238115,0.3098560654863397,28.245142459869385
 , , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.467625,0.32508078626181686,85.27196979522705
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.751264,0.32936233454206587,125.99476265907288
 , , ,4,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.709413,0.3799783232192399,166.82769179344177
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.1290805,0.39046132168344583,200.4425928592682
 , , ,20,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.3554200000000005,0.3931877777444323,244.98175883293152
 , , ,4,16,4, , , , ,5.8017175000000005,0.3952023193688177,305.54106521606445
 , , ,80,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.243971999999999,0.41995736388641824,359.1341710090637
 , , ,128,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.076734500000001,0.4247848882108667,400.68860030174255
 , , ,50,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.8465205000000005,0.4266012194767918,449.64569640159607
 , , ,16,32,4, , , , ,2.522741,0.4419587014425532,477.6718330383301
 , , ,16,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),7.8269595,0.4494415199129554,554.814013004303
 , , ,4,20,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.680887,0.45185170443625805,613.4961316585541
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),7.9128335,0.4580590571284679,691.0973856449127
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.545245,0.46430507988568115,719.2693111896515
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.8386620000000002,0.4671142326680721,761.876526594162
 , , ,16,20,4, , , , ,2.665232,0.46948832758654374,791.0546431541443
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.1749039999999997,0.4700314388685831,815.796108007431
 , , ,100,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.2211205,0.4730930468022863,858.9355311393738
 , , ,128,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.4220420000000003,0.4751784118547048,886.0555391311646
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4, , , , ,3.8146225,0.477425146868335,928.8575947284698
 , , ,100,64,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.9303015,0.48549717785150426,969.0744392871857
 , , ,32,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.210493,0.4869818540347929,994.314129114151
 , , ,128,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.715953,0.48764357237662215,1024.2691876888275
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.846107,0.490030219513666,1066.98850440979
 , , ,100,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),3.9417869999999997,0.4904061024080566,1108.1152956485748
 , , ,80,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5643314999999998,0.49047008697442496,1136.3270287513733
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.8873815,0.49100227946658076,1176.7768170833588
 , , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.7501325000000003,0.4923132185951838,1217.713728427887
 , , ,16,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.3653755,0.49333508339831394,1262.6642925739288
 , , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.9311,0.49374901115454395,1306.0198090076447
 , , ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),8.3921855,0.4937981662719468,1387.6968903541565
 , , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),6.4708594999999995,0.4950414851906847,1453.797043800354
 , , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.1411055,0.49653357550494387,1478.358647108078
 , , ,80,16,4, , , , ,2.4116125,0.49843308160064714,1505.358570575714
 , , ,16,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.472633,0.4986001529859259,1532.778593301773
 , , ,4,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,9.981062000000001,0.4990805709850865,1632.79501247406
 , , ,16,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.0005775,0.5014468506295656,1665.1761102676392
 , , ,20,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3129685,0.5027214534707888,1691.1016247272491
