p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
7,100, , ,4,96,128,scatter,cores,75,1.748745,60.452248096466064
6,10, ,#pragma omp parallel for,8,16,80,balanced,threads,75,1.574352,108.40662097930908
7,10, ,#pragma omp parallel for,128,2,10,scatter,cores,75,1.7386270000000001,156.70737409591675
7,40, ,#pragma omp parallel for,64,16,64,scatter,cores,75,1.734611,205.18485713005063
5,40,#pragma clang unrolling full, ,96,4,10,scatter,cores,75,1.500583,256.33395385742193
6,20, , ,4,64,128,compact,cores,75,1.59439,307.6053166389465
7,20, , ,256,64,80,compact,threads,75,1.7126169999999998,359.76002621650696
5,100, ,#pragma omp parallel for,32,8,200,balanced,cores,75,1.593765,407.72475242614746
7,64,#pragma clang unrolling full,#pragma omp parallel for,8,64,10,compact,threads,75,1.67477,456.0104899406433
5,20,#pragma clang unrolling full, ,96,32,200,compact,threads,75,1.836067,505.958822965622
4,160, , ,4,96,40,compact,threads,75,1.609262,558.9147958755493
8,100,#pragma clang unrolling full, ,256,8,64,balanced,sockets,75,2.125643,613.4663324356079
8,20, ,#pragma omp parallel for,256,32,100,balanced,threads,75,1.609438,662.6039886474608
8,80,#pragma clang unrolling full,#pragma omp parallel for,256,8,64,scatter,cores,75,1.760865,712.4031631946564
7,160,#pragma clang unrolling full,#pragma omp parallel for,16,128,128,balanced,sockets,75,1.6756900000000001,762.4603033065796
6,128, , ,4,16,80,balanced,threads,75,1.488683,814.2054419517517
6,200,#pragma clang unrolling full,#pragma omp parallel for,96,96,128,scatter,threads,75,1.582362,862.4108135700226
6,128, ,#pragma omp parallel for,4,8,20,compact,cores,75,1.59164,910.0280809402466
6,80, ,#pragma omp parallel for,32,256,100,balanced,sockets,75,1.596565,957.9458250999452
5,40, , ,4,256,160,scatter,threads,75,1.570508,1009.2550134658812
7,10,#pragma clang unrolling full, ,32,32,128,scatter,cores,75,1.770498,1061.074028491974
6,80, ,#pragma omp parallel for,256,64,128,balanced,cores,75,1.592012,1109.397804737091
7,80, ,#pragma omp parallel for,16,128,160,scatter,sockets,75,1.8120740000000002,1157.8499803543089
6,20,#pragma clang unrolling full,#pragma omp parallel for,2,256,40,balanced,cores,75,1.576671,1206.2295091152193
4,160, , ,128,32,40,scatter,threads,75,1.3229360000000001,1256.4500968456266
8,10, , ,16,96,160,scatter,sockets,75,1.830953,1309.002301454544
