p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,10, , ,16,8,128,scatter,sockets,2.363542079925537,0.9638721331870409,47.53924512863159
4,40,#pragma clang unrolling full, ,8,16,128,balanced,sockets,2.3067281246185303,1.0393127497739165,92.66535258293152
4,200,#pragma clang unrolling full, ,2,96,80,scatter,threads,2.2614192962646484,1.1694475592865077,137.7097806930542
4,200, , ,96,96,80,balanced,sockets,2.3744823932647705,1.206965934428629,183.07270193099976
4,40, , ,8,256,80,scatter,sockets,2.444519281387329,1.2280263134722074,228.76857209205627
4,200, , ,96,256,20,compact,sockets,2.2604141235351562,1.2580162669559984,273.82788038253784
4,200, , ,8,2,200,balanced,sockets,2.4677932262420654,1.2847191805933806,319.38601088523865
4,20,#pragma clang unrolling full, ,8,96,64,compact,threads,2.407525062561035,1.2863493041647451,364.81897163391113
4,200,#pragma clang unrolling full, ,8,16,128,balanced,sockets,2.314117908477783,1.296691873886778,409.84771275520325
4,40,#pragma clang unrolling full, ,96,256,128,balanced,sockets,2.3817663192749023,1.330311517212206,455.17452216148376
5,40,#pragma clang unrolling full, ,64,2,128,compact,cores,2.59322190284729,1.3350046478760575,501.15945291519165
4,40, , ,8,2,10,scatter,cores,2.376314163208008,1.337261500826446,546.3400387763977
4,10,#pragma clang unrolling full, ,96,256,20,balanced,sockets,2.28019118309021,1.34026995114385,591.5362730026245
4,80, , ,2,256,80,balanced,sockets,2.3765923976898193,1.342083382845971,636.8838963508606
4,10,#pragma clang unrolling full, ,2,256,80,compact,sockets,2.340467691421509,1.3978873391545388,682.0283856391907
4,40,#pragma clang unrolling full, ,8,96,10,balanced,sockets,2.3479881286621094,1.3983168821628567,727.3467102050781
5,200, , ,2,128,80,scatter,sockets,2.5248446464538574,1.4129561952760046,773.3095736503601
4,64,#pragma clang unrolling full, ,8,128,128,balanced,cores,2.3464255332946777,1.4241211603915338,818.5426893234253
4,160, , ,8,2,10,balanced,sockets,2.344694137573242,1.4308405055840416,863.9078829288483
5,80, , ,96,96,160,scatter,threads,2.528092861175537,1.4418758169582977,909.7847859859467
4,10,#pragma clang unrolling full, ,2,8,80,compact,sockets,2.388950824737549,1.4544102664945493,955.022536277771
4,10,#pragma clang unrolling full, ,8,128,128,balanced,sockets,2.339649200439453,1.4570554243137255,1000.2979917526245
5,64, , ,8,128,80,compact,sockets,2.545910120010376,1.45774897181543,1046.3262860774994
4,100, , ,8,96,80,scatter,threads,2.4048562049865723,1.4841086454996626,1091.6920070648193
4,10, , ,96,8,10,balanced,sockets,2.479022741317749,1.484916128959033,1137.289404630661
5,64,#pragma clang unrolling full, ,128,2,128,balanced,threads,2.5133612155914307,1.4956238277516936,1183.2678997516632
4,40, , ,16,16,128,balanced,threads,2.378606081008911,1.5109286527371681,1230.2039151191711
4,40,#pragma clang unrolling full, ,8,96,64,scatter,sockets,2.3533568382263184,1.5137397161162034,1275.5808579921722
4,20,#pragma clang unrolling full, ,8,96,40,compact,sockets,2.401806592941284,1.5171540041217935,1321.0714766979218
4,40,#pragma clang unrolling full, ,256,32,10,compact,threads,2.445948362350464,1.5258787642365597,1368.1711807250977
4,10,#pragma clang unrolling full, ,8,96,20,balanced,cores,2.412611722946167,1.5323960408291648,1413.884296655655
4,10,#pragma clang unrolling full, ,256,8,10,compact,sockets,2.327958345413208,1.5375713120964654,1459.2258291244507
4,128, , ,128,256,80,compact,sockets,2.434203863143921,1.5489812347793737,1504.8376848697662
5,40,#pragma clang unrolling full, ,8,96,128,balanced,threads,2.673341989517212,1.5576266687198734,1550.9432525634766
5,200,#pragma clang unrolling full, ,128,256,64,scatter,threads,2.6636927127838135,1.5654155015696398,1597.044468164444
4,40,#pragma clang unrolling full, ,96,96,80,compact,sockets,2.3350393772125244,1.575907842768833,1642.4046404361725
4,10, , ,8,32,20,balanced,sockets,2.290672540664673,1.583815654757153,1687.6333022117615
5,40, , ,16,256,80,balanced,threads,2.594526529312134,1.5881252856672177,1733.6666355133057
4,100,#pragma clang unrolling full, ,128,96,128,balanced,sockets,2.546215772628784,1.597971758251949,1779.3610670566559
4,200, , ,8,2,64,scatter,sockets,2.3944578170776367,1.6015539144764053,1824.673398733139
4,80,#pragma clang unrolling full, ,16,96,80,balanced,sockets,2.3125240802764893,1.6035182422484695,1870.1421792507172
4,40, , ,96,256,64,scatter,sockets,2.3904736042022705,1.6056226152418962,1915.6674184799194
4,128, , ,8,128,80,balanced,sockets,2.370068073272705,1.6146378960177956,1961.9028973579407
4,200, , ,96,8,80,compact,threads,2.5083625316619873,1.6177680721305574,2008.0104751586914
