p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
5,200,#pragma clang unrolling full, ,8,2,128,scatter,sockets,19.10503911972046,4.781647011364071,97.23478174209595
5,40, , ,96,8,128,balanced,sockets,19.029834032058716,5.742083176590867,192.61697483062744
4,200,#pragma clang unrolling full, ,256,96,80,scatter,threads,17.7334144115448,7.02090760189415,284.9047763347626
4,40, , ,96,128,80,balanced,threads,17.315900802612305,7.338124104895908,375.8294198513031
4,40, , ,96,256,80,scatter,sockets,17.307114124298096,7.50894645675703,466.03017473220825
4,40, , ,96,96,20,compact,sockets,17.308202981948853,7.744265363115292,556.1990773677826
4,200, , ,8,256,40,balanced,threads,17.393975257873535,7.946705165838856,646.590475320816
4,100, , ,96,128,64,compact,cores,17.760122060775757,7.958862484743602,739.4236721992493
4,200, , ,8,8,128,balanced,threads,18.177607774734497,8.035482147034847,836.2403795719147
4,40, , ,96,96,128,balanced,sockets,17.88330602645874,8.27871425117119,928.4552767276764
4,40,#pragma clang unrolling full, ,8,256,128,compact,cores,17.711637258529663,8.311996754128117,1020.7488770484924
4,40,#pragma clang unrolling full, ,8,256,10,scatter,sockets,17.86179780960083,8.327945766581728,1112.7334690093994
4,200, , ,96,96,20,balanced,sockets,17.579853057861328,8.349150282571086,1204.3880569934845
4,160, , ,2,96,80,balanced,sockets,17.692821264266968,8.361901255895656,1296.3908994197845
4,10, , ,2,96,80,compact,sockets,17.482398986816406,8.743675421489096,1387.4686858654022
4,40,#pragma clang unrolling full, ,8,96,10,balanced,sockets,17.757431745529175,8.746538879311654,1480.147733926773
4,200, , ,2,4,80,compact,threads,17.55200219154358,8.843487852718908,1572.8736889362335
4,10, , ,8,128,128,balanced,sockets,17.89679980278015,8.916610981386741,1665.7690448760986
4,128, , ,8,256,10,balanced,threads,17.95522904396057,8.960287504518247,1757.9884822368622
4,80, , ,96,128,160,scatter,threads,18.239765644073486,9.031492903885342,1851.455638408661
4,200, , ,256,2,80,compact,sockets,17.758550882339478,9.111600146208158,1943.3691847324371
4,200, , ,8,128,128,balanced,sockets,17.587882041931152,9.128402797195998,2035.2282602787018
4,10, , ,8,64,80,compact,sockets,17.708277940750122,9.132802542016568,2127.040254354477
4,64,#pragma clang unrolling full, ,8,128,80,scatter,threads,17.622860431671143,9.298273135438265,2218.469866037369
4,200, , ,96,256,10,balanced,sockets,17.793543815612793,9.303289432636062,2310.73740029335
4,10, , ,128,256,128,balanced,cores,17.726341485977173,9.369521852304072,2402.7486984729767
4,80, , ,8,8,128,balanced,threads,18.188728094100952,9.463284201823335,2496.468674182892
4,80, , ,8,128,64,scatter,sockets,17.910794973373413,9.480392497591769,2588.54452586174
4,128, , ,8,128,40,compact,sockets,17.758500337600708,9.501125605681978,2681.084924697876
4,40,#pragma clang unrolling full, ,256,8,10,compact,threads,17.784804344177246,9.553877553073299,2773.149868249893
4,10,#pragma clang unrolling full, ,96,96,20,balanced,cores,17.83213472366333,9.593071050408021,2865.8355350494385
4,200, , ,256,2,64,balanced,sockets,17.703979969024658,9.62406719152578,2957.434854745865
4,100,#pragma clang unrolling full, ,64,96,80,compact,sockets,17.58806586265564,9.692014668805616,3049.5955822467804
4,200,#pragma clang unrolling full, ,64,96,64,scatter,threads,17.78144407272339,9.788963259231686,3142.1979308128357
