p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
6,10, , ,96,2,10,scatter,cores,-3.633314768473307,True,-1,initial_sampling,Random_Sampling
8,100,#pragma clang unrolling full,#pragma omp parallel for,256,256,100,scatter,sockets,-3.084029038747152,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,256,128,200,scatter,sockets,-3.132308006286621,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,160, ,#pragma omp parallel for,4,96,160,balanced,cores,-3.0672849814097085,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, ,#pragma omp parallel for,256,128,200,balanced,sockets,-2.99969220161438,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,96,256,100,compact,cores,-2.967967907587687,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,256,128,200,balanced,threads,-3.1251941521962485,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
6,160, ,#pragma omp parallel for,32,64,200,scatter,sockets,-2.864229122797648,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,threads,-3.1101484298706055,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full, ,256,128,200,compact,sockets,-3.057084639867147,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,scatter,sockets,-3.184351841608683,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,160, ,#pragma omp parallel for,256,64,20,compact,threads,-2.6272923946380615,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,sockets,-2.5377871990203857,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full, ,256,256,100,compact,sockets,-3.1061928272247314,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200, ,#pragma omp parallel for,256,128,100,compact,sockets,-2.9563697973887124,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
6,160, ,#pragma omp parallel for,32,64,200,balanced,sockets,-2.841836849848429,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,100,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,cores,-3.0246592362721763,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200, , ,256,128,100,compact,sockets,-3.016958316167196,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200, ,#pragma omp parallel for,96,128,200,compact,cores,-3.0568262736002603,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,compact,sockets,-3.0405651728312173,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,256,200,balanced,cores,-3.8999506632486978,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100, , ,256,128,100,balanced,sockets,-3.290357748667399,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,balanced,sockets,-3.3097523053487143,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,100,#pragma clang unrolling full, ,96,128,200,balanced,sockets,-3.559997081756592,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100, , ,256,256,200,compact,cores,-3.114365577697754,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,100, ,#pragma omp parallel for,256,128,200,compact,cores,-2.312757106370138,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, , ,96,256,200,compact,sockets,-3.204909386412694,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,256,128,200,compact,sockets,-1.793296232966312,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200, ,#pragma omp parallel for,256,128,100,compact,cores,-2.881075634162677,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100, ,#pragma omp parallel for,256,128,200,scatter,sockets,-2.971521217253562,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,160, , ,256,128,200,compact,cores,-2.5510356956094133,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,256,128,128,compact,sockets,-2.527866961061521,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,80, , ,256,128,200,compact,sockets,-2.6360875311947574,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,160,#pragma clang unrolling full,#pragma omp parallel for,256,64,20,compact,threads,-2.5400816599527993,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,256,128,200,compact,sockets,-3.0428382555643716,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,160, , ,256,128,200,compact,threads,-3.0774943828582764,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
6,200, , ,256,128,200,compact,sockets,-2.876877546310425,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,160,#pragma clang unrolling full, ,256,128,128,compact,sockets,-2.9743244647979736,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200, , ,128,256,100,scatter,cores,-2.949883894475107,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,sockets,-2.3627600945340252,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full, ,256,96,200,compact,sockets,-2.762609861529884,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100, ,#pragma omp parallel for,256,128,200,balanced,cores,-3.1009773870429127,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,256,96,200,compact,sockets,-2.7822655987946643,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,128,128,160,compact,sockets,-2.759448275474511,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,256,200,balanced,sockets,-2.3828546326525526,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, , ,256,128,128,compact,cores,-2.8271926716150255,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,256,128,160,compact,sockets,-3.109006404876709,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full, ,256,128,200,compact,sockets,-3.041593074798584,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,128, ,#pragma omp parallel for,256,128,200,compact,sockets,-3.0251832803090415,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,threads,-3.0631295839945474,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,256,128,80,compact,threads,-3.030331611633301,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,20, ,#pragma omp parallel for,256,128,200,compact,cores,-2.918450521193639,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,128,128,200,scatter,sockets,-2.8586010024062536,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,128,128,200,compact,sockets,-2.763265503711583,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,96,256,200,compact,sockets,-2.2639606237061853,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,80, ,#pragma omp parallel for,256,128,200,compact,cores,-2.9012259599649206,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,128,128,200,compact,sockets,-2.7621426529261837,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,256,96,200,compact,sockets,-2.8486960755341206,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,160, ,#pragma omp parallel for,256,128,200,compact,cores,-1.95227997712255,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,96,2,200,compact,sockets,-2.895037370167139,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, , ,256,128,200,compact,sockets,-3.0073901812235513,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,compact,cores,-2.998324394226074,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,160,#pragma clang unrolling full,#pragma omp parallel for,128,64,80,compact,sockets,-3.0711746215820312,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
