objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
15.545125500000001,6,80,#pragma clang unrolling full, ,16,128,80,balanced,sockets
15.5334515,6,10, ,#pragma omp parallel for,8,96,10,compact,threads
15.4496395,7,10,#pragma clang unrolling full, ,2,128,200,compact,cores
15.4714305,6,100,#pragma clang unrolling full, ,96,32,128,compact,cores
15.542994499999999,7,80,#pragma clang unrolling full, ,2,128,200,compact,cores
15.534696,7,10,#pragma clang unrolling full, ,2,4,200,compact,cores
15.547872,7,10,#pragma clang unrolling full, ,2,128,200,compact,sockets
15.515512999999999,7,10, , ,2,128,200,compact,cores
15.418815,7,10,#pragma clang unrolling full, ,32,128,200,compact,cores
15.4302325,7,64,#pragma clang unrolling full,#pragma omp parallel for,2,128,200,compact,threads
15.523353499999999,4,10,#pragma clang unrolling full, ,2,128,10,compact,cores
15.551248000000001,4,10,#pragma clang unrolling full, ,2,128,200,compact,threads
15.534606,7,10, , ,4,128,200,scatter,sockets
15.593350000000001,7,10,#pragma clang unrolling full, ,32,128,160,compact,cores
15.515471,7,10,#pragma clang unrolling full, ,32,128,200,compact,sockets
15.479052,7,10,#pragma clang unrolling full, ,32,128,200,compact,threads
15.5977095,7,100,#pragma clang unrolling full, ,32,128,80,compact,cores
15.6283455,7,10,#pragma clang unrolling full,#pragma omp parallel for,32,128,40,compact,cores
15.691136499999999,7,160,#pragma clang unrolling full,#pragma omp parallel for,32,128,200,compact,cores
15.5047525,7,40,#pragma clang unrolling full, ,32,128,200,compact,cores
15.5526665,7,200,#pragma clang unrolling full,#pragma omp parallel for,32,128,200,compact,cores
15.6828445,7,10,#pragma clang unrolling full, ,4,128,200,compact,cores
15.509758000000001,7,10,#pragma clang unrolling full, ,32,256,200,compact,cores
15.523509,5,10,#pragma clang unrolling full, ,32,128,200,compact,cores
15.54744,7,20,#pragma clang unrolling full, ,32,8,200,compact,cores
15.492486,7,10, , ,32,128,200,scatter,threads
15.6592835,7,128,#pragma clang unrolling full, ,32,96,80,compact,cores
15.5964835,7,10,#pragma clang unrolling full,#pragma omp parallel for,128,128,200,compact,sockets
15.519585500000002,7,10,#pragma clang unrolling full, ,16,128,200,compact,cores
15.568171,7,10,#pragma clang unrolling full, ,32,64,200,scatter,cores
15.5826365,4,10,#pragma clang unrolling full, ,32,128,200,compact,cores
15.562206,7,100, , ,32,128,200,compact,sockets
15.469236500000001,7,10,#pragma clang unrolling full, ,32,2,200,compact,cores
15.53537,8,10,#pragma clang unrolling full, ,256,128,200,scatter,cores
15.5457845,7,10,#pragma clang unrolling full,#pragma omp parallel for,32,96,64,balanced,cores
15.5266,7,10,#pragma clang unrolling full, ,8,128,200,compact,cores
15.5057455,4,10,#pragma clang unrolling full, ,128,256,200,compact,cores
15.5512825,7,10,#pragma clang unrolling full, ,32,32,200,compact,cores
15.5650605,8,10, , ,32,128,200,compact,sockets
15.530025,8,160,#pragma clang unrolling full, ,32,128,200,compact,threads
15.5727995,8,10,#pragma clang unrolling full, ,32,128,200,compact,cores
15.436111499999999,8,10,#pragma clang unrolling full, ,32,128,160,compact,cores
15.787358999999999,5,10, , ,32,128,200,compact,cores
15.481826,7,10,#pragma clang unrolling full, ,32,4,200,compact,cores
15.4940535,7,80,#pragma clang unrolling full, ,32,128,64,compact,cores
15.479289,7,10,#pragma clang unrolling full, ,32,128,200,balanced,cores
15.529311,6,10,#pragma clang unrolling full, ,32,256,200,balanced,cores
15.449866499999999,6,10,#pragma clang unrolling full, ,4,128,80,compact,cores
15.570684,4,10,#pragma clang unrolling full,#pragma omp parallel for,32,128,200,compact,sockets
15.5493935,6,10,#pragma clang unrolling full, ,32,128,128,compact,cores
