p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,2.277331,16.271136045455933
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,1.7534394999999998,31.4707772731781
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,32,5.266678,58.99961805343628
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,2.4752080000000003,76.95106840133667
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,80,2.765269,97.2278904914856
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,2.0979985,114.67776608467102
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,20,5.010073,141.8231303691864
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,80,2.7386565,161.59502339363098
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,3.2369624999999997,182.84902000427246
 , , ,16,2048,32,3.1528345,203.2002124786377
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,32,3.890797,227.1237862110138
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,10.844397,271.8994576931
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,4,11.380488,317.838819026947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,20,3.5470189999999997,341.277307510376
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,16,3.285997,362.75879311561584
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,8,3.807732,385.93121218681335
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,1.4297680000000001,401.3792281150818
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,50,2.5293605,419.94687271118164
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,1.411334,435.3478593826294
 , , ,4,32,256,1.517626,450.96456575393677
 , , ,4,64,256,1.5282330000000002,466.11952781677246
 , , ,4,80,256,1.5229279999999998,481.3039860725403
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,256,2.094297,499.43274211883545
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,256,2.1144005000000003,517.136301279068
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,256,1.440398,532.0514483451843
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,1.4013995000000001,546.7200157642365
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,1.520989,561.6281695365906
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,1.4918565,577.1357409954071
