p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.005542999999999999,9.609030723571777
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.0056275000000000006,19.167996883392334
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,32,0.02821,30.703705549240112
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.009729999999999999,41.60092639923096
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,80,0.0104405,53.235493659973145
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.009611,64.77095317840576
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,20,0.0187205,76.40884780883789
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,80,0.008498499999999999,87.97195768356323
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,4,0.045587,99.39626884460449
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,50,0.0150255,110.89677619934082
 , , ,32,128,80,0.005719,121.55022811889648
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,80,0.019371,132.920818567276
 , , ,4,128,64,0.005659,143.30455541610718
 , , ,64,128,32,0.007353,153.90004181861877
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,80,0.00958,165.28510451316833
