p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,8,50,200,37.095321500000004,348.65571928024286
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,64,16,200,67.401278,963.8710417747498
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,100,200,31.3758635,1256.1073987483976
 , , ,8,20,256,200,14.485723499999999,1394.6152431964874
 , , ,8,32,256,200,14.559798,1533.3017292022705
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,4,200,96.0393625,2404.765423297882
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,20,200,30.099263,2684.0420770645137
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,128,80,200,47.382573,3122.439748287201
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,128,200,45.593693,3543.848775625229
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,64,50,200,53.668825,4038.21311545372
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,256,200,21.065397,4238.228279352188
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,4,16,200,56.7873925,4763.243265867233
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,16,20,200,61.825894999999996,5333.328954935074
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,4,200,90.596075,6153.8915569782275
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,200,51.1853805,6624.383580207825
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,200,27.588864500000003,6882.131289482117
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,256,200,20.7891185,7078.67346906662
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,200,15.6774505,7227.869746685028
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,64,200,57.554332499999994,7762.015131950378
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,100,200,36.724462,8103.3349282741565
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,200,34.6315795,8426.16363286972
 , , ,50,80,8,200,37.2996045,8770.50997710228
 , , ,64,50,8,200,41.0128275,9149.787987232208
