p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,4,16,64,0.0024415,0.0002662753958857909,10.864739894866943
 , , ,16,32,100,0.0024135,0.00026667153199439803,19.085291624069214
 , , ,128,128,20,0.002711,0.00029501165855596754,27.28697443008423
 , , ,80,50,32,0.0024435,0.0002965170590535222,35.37038588523865
 , , ,20,20,32,0.001961,0.0002978254741765785,43.909602642059326
 , , ,16,50,16,0.0028580000000000003,0.000312765120636694,52.506298303604126
 , , ,96,128,16,0.002784,0.00033729685152205984,60.72203707695007
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,16,0.0029285,0.0005486157973516857,68.98134088516235
 , , ,128,16,8,0.002575,0.0005589179885555287,77.79183435440063
 , , ,32,100,100,0.00223,0.0005921667720042517,85.7847089767456
 , , ,50,32,32,0.0024045,0.0006187995056657303,93.74070835113525
 , , ,4,16,100,0.0019525,0.0007010583132774044,103.122230052948
 , , ,8,64,4,0.0033740000000000003,0.0007340762525259774,111.67122483253479
 , , ,4,64,20,0.002694,0.0009437014350425951,122.1160056591034
 , , ,32,100,20,0.002708,0.0009452592312358892,130.31133842468262
 , , ,32,128,32,0.0024460000000000003,0.0009857874466783199,138.2798717021942
 , , ,4,100,32,0.0024225,0.0012366025403971453,146.77571415901184
 , , ,16,32,64,0.002412,0.0012636961512003933,154.94569301605225
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,20,0.0030635000000000003,0.0014193455049745373,163.20134496688843
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,8,0.0029995,0.0014623855242930969,171.873220205307
 , , ,80,16,16,0.002698,0.0017761485071593544,180.47591757774353
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,4,0.00362,0.0017971161294808328,188.93568181991577
 , , ,96,80,32,0.0024115,0.0018031310461712226,196.90056037902832
 , , ,4,80,64,0.0024145,0.0018882459132587713,205.36703276634216
 , , ,96,64,64,0.002416,0.0019276963540349537,213.34377098083496
 , , ,128,100,100,0.002395,0.001958134633804259,221.33671498298645
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,0.0023994999999999997,0.002073129813852776,230.70492506027222
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,0.00266,0.0021497849939658515,239.20706224441528
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,80,0.002593,0.0021838235448225136,247.1878011226654
 , , ,16,128,100,0.0025,0.0023043727088310037,255.37133026123047
 , , ,128,50,16,0.0028205,0.0023871070425337897,263.57834243774414
 , , ,128,100,64,0.0024035000000000003,0.002476319955055912,271.5441300868988
 , , ,4,32,256,0.0023455,0.0024802754026722485,280.04253339767456
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,0.002504,0.002491315025567217,288.381906747818
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.002312,0.002493898322175725,296.8426740169525
 , , ,128,80,100,0.0024085,0.0025206588305195098,304.82836723327637
 , , ,128,4,20,0.0026735,0.0026071900511235556,315.8995943069458
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,0.0025989999999999997,0.0027021706825419373,323.90746569633484
 , , ,128,16,64,0.0024444999999999996,0.002730639830834661,332.1134750843048
 , , ,100,8,4,0.0032975,0.003178038794039046,340.58142042160034
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.002735,0.0032172641892103467,348.816246509552
 , , ,50,16,100,0.0024555000000000002,0.003328525866574108,356.9623725414276
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,16,0.0027345,0.0034861757102313666,365.5412063598633
 , , ,100,100,100,0.0027815,0.003546972920483364,373.5138142108917
 , , ,128,32,100,0.0021200000000000004,0.003794264373658838,381.6571865081787
 , , ,4,100,100,0.002345,0.0038796818193490012,390.12745428085327
 , , ,16,128,4,0.003366,0.003918395565006604,399.33159351348877
 , , ,100,16,256,0.002451,0.003961345715158368,407.50882720947266
 , , ,32,2048,16,0.002719,0.00407512272882934,415.70429587364197
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,32,0.0026765,0.004083141352216135,423.75480580329895
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,64,0.0026014999999999996,0.00420654608920314,431.8210668563843
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,4,0.0034235,0.004252001371671451,440.41438388824463
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,80,0.0026214999999999997,0.004362495844052319,448.4487900733948
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,64,0.0021644999999999998,0.004573488634059698,457.00480103492737
 , , ,4,100,4,0.0028455,0.0046030667437120375,465.54448771476746
 , , ,16,128,64,0.0024245,0.004667961162370069,473.75656747817993
 , , ,16,64,256,0.0024075,0.004681286912145153,481.8886785507202
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,100,0.0027015,0.004772882148142243,490.45890402793884
 , , ,16,100,256,0.0024115,0.004809093898142614,498.7164957523346
 , , ,50,64,100,0.002426,0.004926902947844472,506.78788208961487
 , , ,4,8,16,0.002807,0.005702894052551843,516.8384795188904
 , , ,100,20,64,0.002476,0.005794659147786034,525.0355045795441
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,0.0031225000000000003,0.005935157165359911,533.5360636711121
 , , ,100,128,64,0.0023984999999999996,0.006263269859287216,541.4904074668884
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,100,0.0024980000000000002,0.00647784483379915,550.0009620189667
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,100,0.0026195000000000003,0.006487559759087762,558.0307533740997
 , , ,4,50,100,0.0024225,0.0069078310756562665,566.5125825405121
 , , ,50,128,100,0.002415,0.007268863425686534,574.4811980724335
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,4,0.003662,0.007323313373769811,583.5758166313171
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,100,0.002641,0.008197495992184613,591.7379472255707
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,256,0.002628,0.008226811772448156,600.3763914108276
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,100,0.002592,0.008488848084008092,608.603551864624
 , , ,50,8,50,0.002525,0.008772387818263302,617.1056461334229
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,16,20,0.002937,0.008834991769393381,625.7421073913574
 , , ,32,8,16,0.002705,0.009150998445390761,634.0233483314514
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,8,0.003107,0.009162345742057567,642.6171324253082
 , , ,96,100,4,0.003592,0.009185949313264734,651.187940120697
 , , ,32,16,64,0.0024315,0.009477640742664148,659.4811062812805
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,0.0034615,0.009799925360669695,668.0553300380707
 , , ,20,80,4,0.0032105,0.010082610188952146,677.1090652942657
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,0.003309,0.010118772950714484,685.6266987323761
 , , ,16,16,8,0.0026945,0.010264572308653507,694.6714088916779
