p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
192,1000, , ,64,16,200,disabled,threads,1.201975,19.451689958572388
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,10,compact,sockets,0.9587,36.532286167144775
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,balanced,cores,4.844345000000001,65.47330904006958
192,1600, ,#pragma omp parallel for,4,4,200,disabled,cores,1.358085,89.81199717521667
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,40,none,sockets,1.3202850000000002,108.68982267379761
96,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,40,balanced,sockets,1.001655,126.23284101486206
64,1000,#pragma clang loop unrolling full, ,16,96,64,scatter,threads,0.99866,143.23764848709106
8,1000, ,#pragma omp parallel for,128,4,10,none,sockets,2.474675,166.88105368614197
96,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,80,balanced,cores,0.944475,185.81154012680054
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,20,balanced,cores,0.9281250000000001,204.8891360759735
256,640,#pragma clang loop unrolling full, ,64,128,64,balanced,threads,1.136655,224.24801993370056
48,1280,#pragma clang loop unrolling full, ,64,8,10,balanced,cores,1.0236550000000002,243.32908010482788
64,200,#pragma clang loop unrolling full, ,128,32,10,balanced,cores,1.020135,262.03696274757385
48,1600,#pragma clang loop unrolling full, ,4,32,20,balanced,cores,1.01024,280.8013153076172
64,640,#pragma clang loop unrolling full, ,96,32,128,balanced,cores,0.972475,299.6720004081726
48,640,#pragma clang loop unrolling full, ,4,256,10,balanced,cores,0.96297,318.5637457370758
48,640,#pragma clang loop unrolling full, ,128,16,40,balanced,cores,0.9631,337.34139370918274
64,400,#pragma clang loop unrolling full, ,64,32,200,balanced,cores,0.949685,356.1583070755005
64,100,#pragma clang loop unrolling full, ,64,32,128,balanced,cores,0.934695,375.01662611961365
128,200,#pragma clang loop unrolling full, ,64,32,80,balanced,cores,0.95624,393.79891991615295
8,200,#pragma clang loop unrolling full, ,4,32,80,balanced,cores,2.46831,417.3717722892761
64,400,#pragma clang loop unrolling full, ,64,16,160,balanced,cores,0.9395450000000001,439.6173770427704
8,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,160,balanced,cores,2.4717200000000004,463.67061829566956
