p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
48,100,#pragma clang loop unrolling full, ,32,64,80,balanced,sockets,1.4404599999999999,0.02724347957597839,28.053675889968872
32,100,#pragma clang loop unrolling full, ,256,96,200,balanced,sockets,1.50313,0.03535737087081137,54.99019646644592
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,100,balanced,cores,1.432885,0.06783208213414105,81.76270484924316
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,160,balanced,cores,0.956645,0.06981435487509713,105.57489395141602
32,100,#pragma clang loop unrolling full, ,64,4,160,balanced,sockets,1.4969350000000001,0.07804394384288815,132.49261951446533
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,80,balanced,cores,1.00708,0.08057421255773678,155.6686668395996
32,100, ,#pragma omp parallel for,64,16,128,balanced,cores,1.46352,0.08088952130917737,182.6895673274994
32,100, , ,4,256,200,balanced,cores,1.59817,0.0820361079721984,209.77399230003357
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,40,balanced,cores,1.44737,0.0826911410465293,236.16068840026855
32,100,#pragma clang loop unrolling full, ,96,64,200,balanced,cores,1.638915,0.08301369981694018,263.3820984363556
32,100, , ,4,256,64,balanced,sockets,1.501605,0.08602191529284409,290.2784960269928
32,100, , ,8,2,80,balanced,cores,1.5956700000000001,0.09602084175296022,317.3847625255585
32,100, , ,4,128,128,balanced,cores,1.593185,0.0968080348825947,344.4748110771179
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,128,balanced,cores,1.459645,0.09755417384428433,371.48772525787354
48,100, ,#pragma omp parallel for,256,64,80,balanced,sockets,1.031945,0.10036739751777024,396.05683755874634
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,20,balanced,threads,1.54524,0.10272672437310859,423.2625856399536
48,100, ,#pragma omp parallel for,16,64,80,balanced,cores,0.9658450000000001,0.10529899908057672,447.5963890552521
32,100,#pragma clang loop unrolling full, ,256,8,128,balanced,cores,1.59999,0.10663654301910264,474.7926998138428
32,100,#pragma clang loop unrolling full, ,96,8,200,balanced,sockets,1.59562,0.10713840861051516,502.0532920360565
32,100,#pragma clang loop unrolling full, ,256,64,128,disabled,cores,1.5976949999999999,0.10726244853841949,529.1756768226624
32,200,#pragma clang loop unrolling full, ,16,32,10,balanced,cores,1.603695,0.10833094928585374,556.3535530567169
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,10,balanced,cores,1.395155,0.10970002221270347,583.1763813495636
64,100,#pragma clang loop unrolling full, ,2,256,100,balanced,cores,1.5350350000000001,0.11037553370567321,609.6587145328522
64,100,#pragma clang loop unrolling full, ,8,16,80,balanced,cores,1.5340799999999999,0.11042733276642402,636.169741153717
64,100, , ,4,32,80,none,cores,1.417685,0.11088590130294096,662.1733801364899
32,100, ,#pragma omp parallel for,256,4,80,balanced,cores,1.460455,0.11299077110916345,688.7781667709351
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,10,balanced,cores,0.9620850000000001,0.1131750889763572,712.5876476764679
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,10,balanced,cores,1.001225,0.1135083248060601,736.8665134906769
64,100, ,#pragma omp parallel for,96,2,10,balanced,cores,0.9899199999999999,0.11379969110309707,759.9867577552795
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,200,balanced,cores,0.9613,0.11380041079561487,783.9960505962372
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,200,disabled,cores,1.1886700000000001,0.11552456139322653,809.9969773292542
32,100, , ,16,8,200,balanced,cores,1.4981550000000001,0.11638293973780178,836.8830542564392
32,100,#pragma clang loop unrolling full, ,8,256,160,balanced,cores,1.60915,0.11640382766101776,864.0706071853638
64,100, , ,96,2,80,balanced,cores,1.530855,0.11756589669496542,890.5595352649689
32,100, ,#pragma omp parallel for,64,16,200,balanced,sockets,1.46167,0.11847095519017059,917.6774535179138
32,200, ,#pragma omp parallel for,64,64,10,balanced,cores,1.46706,0.11959533760930452,944.893524646759
32,100,#pragma clang loop unrolling full, ,96,8,128,balanced,cores,1.59875,0.120617289749812,971.9718973636627
64,100, ,#pragma omp parallel for,32,96,128,balanced,cores,1.001945,0.12089266356558925,994.9793951511383
64,100, , ,96,8,128,balanced,cores,1.5011,0.12141466951934343,1021.3560719490051
32,100,#pragma clang loop unrolling full, ,32,8,80,disabled,cores,1.59701,0.122536317192245,1048.2763395309448
64,100, ,#pragma omp parallel for,64,4,128,balanced,cores,0.960295,0.12309473244082036,1071.3801414966583
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,10,disabled,cores,1.00619,0.12514711780587906,1095.958206653595
32,100, ,#pragma omp parallel for,96,16,128,balanced,threads,1.483935,0.12674114556865446,1122.9643337726593
48,100,#pragma clang loop unrolling full, ,16,4,40,balanced,cores,1.443985,0.12680437936918565,1148.9761753082275
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,balanced,sockets,1.4911400000000001,0.12805523098367455,1175.7663156986237
64,100, , ,16,256,160,balanced,cores,1.4145349999999999,0.12830646642697197,1201.983906507492
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,80,balanced,cores,1.5513599999999999,0.12905165328089918,1228.682157754898
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,80,balanced,cores,1.401035,0.1291083531201649,1255.082314491272
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,160,balanced,sockets,1.4880300000000002,0.1291286790648032,1281.7528622150421
32,100,#pragma clang loop unrolling full, ,96,128,160,disabled,sockets,1.5986799999999999,0.12915478156147664,1308.76118516922
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,200,balanced,cores,1.462725,0.13012170964827885,1335.4913380146027
48,100, , ,96,32,80,balanced,cores,1.418115,0.1329229566183493,1361.2974317073822
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,200,balanced,threads,0.992045,0.13565183139465886,1385.0796885490417
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,160,disabled,cores,1.546465,0.13579425947112955,1411.987761259079
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,10,balanced,cores,1.03218,0.1367489490740479,1435.1832311153412
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,10,disabled,cores,1.24592,0.13723750368624055,1460.4907319545746
48,100,#pragma clang loop unrolling full, ,96,96,160,balanced,cores,1.439975,0.13743869880282122,1486.179176568985
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,10,balanced,cores,1.48332,0.13786038261782796,1513.1643352508545
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,20,balanced,cores,1.194415,0.13847962282061577,1538.7738785743713
32,100, ,#pragma omp parallel for,256,32,80,balanced,sockets,1.5392549999999998,0.13958748521300457,1565.4913983345032
32,100, ,#pragma omp parallel for,32,8,200,balanced,sockets,1.4595250000000002,0.13978321603773025,1592.096313714981
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,10,balanced,cores,1.460785,0.14083062933059698,1619.1608147621155
48,100, ,#pragma omp parallel for,96,4,100,explicit,cores,1.371825,0.14113484834254686,1644.9569399356842
64,100,#pragma clang loop unrolling full, ,64,2,200,balanced,cores,1.5315150000000002,0.14134160721447597,1671.2801876068115
32,100,#pragma clang loop unrolling full, ,128,256,10,balanced,cores,1.59536,0.14227953252833336,1698.4769730567932
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,128,balanced,cores,1.00386,0.14268610417161698,1722.979036808014
32,100, ,#pragma omp parallel for,64,4,128,none,cores,1.430425,0.1437232595219068,1749.6885783672333
48,100,#pragma clang loop unrolling full, ,96,4,200,balanced,cores,1.417675,0.14406115081660498,1775.494148015976
32,200, , ,32,4,128,balanced,cores,1.44115,0.14433917547278563,1802.4686970710754
32,100, ,#pragma omp parallel for,8,96,128,balanced,sockets,1.55121,0.14465981074852152,1829.4873259067535
48,100,#pragma clang loop unrolling full, ,2,16,100,disabled,sockets,1.53587,0.14488105747079427,1856.4598309993744
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,10,balanced,sockets,1.05389,0.14608861619369262,1880.3914592266083
32,100, ,#pragma omp parallel for,64,16,200,balanced,cores,1.3125,0.14693575931657432,1906.9657092094421
32,100, , ,96,256,10,disabled,cores,1.59769,0.1469917853090824,1934.059859752655
32,100,#pragma clang loop unrolling full, ,128,16,10,balanced,sockets,1.4952649999999998,0.14731635703488877,1961.0823590755463
48,100, ,#pragma omp parallel for,96,256,80,balanced,sockets,1.24498,0.14735075212350657,1986.3837883472443
48,100,#pragma clang loop unrolling full, ,96,2,128,balanced,sockets,1.41756,0.14804083161199133,2012.093698501587
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,128,balanced,sockets,1.483315,0.14810624625501068,2039.0702514648438
64,200,#pragma clang loop unrolling full, ,16,256,10,balanced,cores,1.54403,0.148979162053124,2065.575044155121
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,128,balanced,cores,1.39775,0.14984024742703816,2092.3768515586853
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,160,balanced,cores,1.48584,0.15027672099510725,2119.2884232997894
32,100, , ,16,16,80,balanced,cores,1.59837,0.1503022824557645,2146.388181447983
32,100, , ,32,32,100,balanced,cores,1.5953,0.1505056013033801,2173.288777589798
32,100,#pragma clang loop unrolling full, ,32,16,128,balanced,cores,1.5968499999999999,0.1508510262843552,2200.3705620765686
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,200,balanced,cores,1.3932449999999998,0.15101195479566465,2227.0789811611176
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,80,balanced,sockets,0.96244,0.1515713011944647,2251.9919073581696
48,100,#pragma clang loop unrolling full, ,2,32,200,disabled,cores,1.493615,0.1527579944181826,2278.2589614391327
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,balanced,cores,1.4628700000000001,0.15353079937642122,2305.160122871399
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,160,balanced,threads,1.0885150000000001,0.1538544524656057,2330.263542175293
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,200,disabled,sockets,1.502675,0.15469362836218248,2357.1766333580017
