p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,800, , ,64,16,160,balanced,cores,32.548445,1499.9450356269956,301.5342164039612
64,100,#pragma clang loop unrolling full, ,64,8,128,disabled,cores,35.14278,1535.9073720115955,618.8375036716461
64,100,#pragma clang loop unrolling full, ,8,32,100,disabled,sockets,29.382270000000002,1692.4491504463865,915.5361025333403
48,100, , ,8,32,20,disabled,sockets,32.283915,1702.7053991037078,1205.4363369941714
48,100, , ,4,256,20,disabled,threads,31.51558,1746.2104600809714,1504.135724067688
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,balanced,sockets,19.549965,1759.892763886535,1698.7347798347473
64,100, , ,4,2,80,balanced,sockets,30.596790000000002,1761.60806212457,1965.6381311416626
64,640, , ,256,64,80,disabled,sockets,23.984915,1767.8648988140694,2213.342886686325
32,100, , ,64,32,100,disabled,sockets,30.898435,1771.453028014858,2512.236609220505
64,100, , ,128,16,128,disabled,sockets,30.851525,1773.223599000996,2815.738240003586
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,100,disabled,cores,25.149970000000003,1789.8533316515009,3085.436953306198
64,100,#pragma clang loop unrolling full, ,32,4,160,disabled,sockets,28.399995,1846.6847109376936,3367.73508644104
48,1280, ,#pragma omp parallel for,256,8,160,disabled,sockets,20.88632,1851.2629205446601,3591.5575473308563
48,100, , ,16,64,80,disabled,threads,31.79772,1855.6166545378094,3902.438314199448
32,100, , ,32,16,64,balanced,threads,32.499979999999994,1872.1578634680166,4204.536564826964
64,100,#pragma clang loop unrolling full, ,8,64,100,disabled,cores,28.142655,1886.1853676673363,4474.839139699936
32,100,#pragma clang loop unrolling full, ,2,128,64,disabled,sockets,31.787684999999996,1901.6423533319225,4774.465319871903
48,100, , ,64,4,160,explicit,sockets,30.349965,1909.7478340632174,5060.238620042801
64,100,#pragma clang loop unrolling full, ,128,4,128,disabled,threads,30.40532,1912.8012352115256,5356.834410190582
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,160,balanced,sockets,19.786655,1913.5569285245695,5556.034989595412
64,100, , ,8,256,200,explicit,sockets,32.05802,1920.0834168774431,5860.876658916473
48,1280,#pragma clang loop unrolling full, ,96,2,128,disabled,sockets,21.16685,1928.490068139042,6095.3479681015015
48,100,#pragma clang loop unrolling full, ,32,64,10,disabled,sockets,32.490195,1932.6563856083187,6412.835356473924
48,100,#pragma clang loop unrolling full, ,32,4,64,disabled,sockets,30.401255,1932.9763679605414,6718.13994884491
48,100, , ,256,256,160,balanced,cores,31.799979999999998,1935.8122559434341,7002.735041618347
48,100,#pragma clang loop unrolling full, ,32,256,64,compact,sockets,23.45145,1948.9018795162167,7241.438254117967
48,100, , ,96,256,200,disabled,sockets,30.49445,1950.053811077703,7537.464841604234
48,100, , ,256,32,10,balanced,threads,29.442970000000003,1952.138779027774,7818.934285402299
48,100,#pragma clang loop unrolling full, ,128,32,200,disabled,sockets,30.248790000000003,1953.9642569115438,8112.760058641435
48,100, , ,128,32,128,disabled,sockets,30.307655,1953.9687688168265,8404.537420272827
64,100,#pragma clang loop unrolling full, ,256,64,80,explicit,threads,29.246605,1964.8184882813862,8692.43572974205
64,100,#pragma clang loop unrolling full, ,2,4,128,disabled,sockets,30.74864,1970.2505218832691,8992.536833763123
64,100, ,#pragma omp parallel for,32,64,40,disabled,sockets,24.94334,1970.3829592122174,9248.365436077118
48,100,#pragma clang loop unrolling full, ,128,32,64,disabled,sockets,31.907840000000004,1977.7699429740155,9547.261721849442
64,100, , ,16,2,128,disabled,cores,32.366725,1983.5491624740775,9851.556452035904
64,100,#pragma clang loop unrolling full, ,16,96,200,disabled,threads,33.09829499999999,1990.760738886902,10170.87666940689
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,160,disabled,sockets,23.20659,1997.3461451500016,10413.964014530182
48,100,#pragma clang loop unrolling full, ,96,8,80,disabled,sockets,32.24739,1999.125676789341,10719.539263486862
48,100, ,#pragma omp parallel for,128,4,160,disabled,threads,25.402060000000002,2002.5048917558458,10981.858758211136
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,64,scatter,sockets,19.15356,2009.7920608644254,11180.268661499023
48,100, , ,16,256,80,disabled,threads,31.640825,2013.4333615967548,11480.875933885574
32,100, , ,4,4,200,balanced,sockets,31.799975,2026.8933315605325,11781.739436864851
32,100, , ,128,2,160,compact,cores,29.991165,2037.4312411232413,12082.33370089531
32,100, ,#pragma omp parallel for,2,256,100,compact,sockets,26.11405,2037.8507947173212,12340.652942180635
64,100, , ,16,64,100,disabled,cores,31.19548,2046.174154386997,12636.44515156746
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,20,disabled,sockets,26.780305,2047.8514416161395,12898.643005609512
64,100, , ,8,4,64,disabled,sockets,28.29715,2052.837344811732,13188.26240968704
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,64,disabled,sockets,21.59611,2053.2173824441397,13447.74494767189
32,100, , ,64,256,20,disabled,cores,33.24998,2053.353642681046,13766.93694972992
64,100,#pragma clang loop unrolling full, ,4,8,20,explicit,cores,28.479925,2053.528645414537,14058.640844106674
64,100, ,#pragma omp parallel for,64,96,128,compact,sockets,19.50596,2060.025553970252,14259.380355119705
32,100, , ,2,64,160,compact,threads,30.642909999999997,2079.004536729878,14557.433821916582
32,100,#pragma clang loop unrolling full, ,8,4,128,explicit,cores,32.299929999999996,2097.720278448116,14867.936511993408
32,100,#pragma clang loop unrolling full, ,256,256,40,scatter,threads,29.984495000000003,2098.703323557424,15160.037297010422
48,100, ,#pragma omp parallel for,2,64,200,compact,sockets,19.212925,2105.30865888932,15351.858234405518
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,200,none,sockets,26.905425,2108.6997023117046,15610.940166950228
32,100, ,#pragma omp parallel for,128,8,20,disabled,sockets,29.49398,2110.0983268293808,15891.938836574553
64,100, , ,64,64,200,compact,sockets,19.501005,2113.033745608919,16098.837029457092
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,100,disabled,sockets,23.194545,2117.354348433393,16353.950540304184
64,100, , ,64,64,64,disabled,threads,32.793440000000004,2125.1138669586185,16645.6961824894
32,100, , ,96,4,128,disabled,cores,29.7948,2126.488744273118,16955.336996793747
64,100, ,#pragma omp parallel for,8,32,200,disabled,threads,27.930475,2133.866459071478,17222.537973642353
32,100,#pragma clang loop unrolling full, ,2,32,100,balanced,sockets,30.599975,2136.0157420474748,17519.139446258545
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,128,compact,threads,21.588314999999998,2137.478136361518,17735.36734342575
64,100, , ,256,64,10,disabled,sockets,30.298175,2144.1289375561073,18031.1438961029
32,100,#pragma clang loop unrolling full, ,8,256,160,disabled,threads,33.10006,2147.0205563628188,18348.133964776996
64,100, , ,4,256,160,balanced,sockets,30.652295000000002,2154.420753826347,18644.945838451385
32,100, , ,128,32,128,disabled,sockets,32.096509999999995,2156.8390284585957,18948.23502397537
64,100,#pragma clang loop unrolling full, ,16,256,160,explicit,sockets,32.48614,2158.8315713303155,19244.543320178986
64,100, , ,32,8,160,balanced,threads,30.805345000000003,2161.1325621289893,19544.47057628632
32,100, ,#pragma omp parallel for,32,4,100,balanced,threads,20.149975,2162.722224146468,19793.03674340248
32,100, , ,32,256,200,disabled,threads,30.149990000000003,2171.4262473074077,20092.436402559284
64,100, , ,4,2,80,explicit,sockets,31.99865,2177.5604593436847,20393.254210948944
64,100, , ,2,64,10,none,sockets,32.523625,2177.9669651198237,20689.856912851334
64,100, , ,256,2,200,balanced,threads,30.601159999999997,2180.3239506140053,20978.660084724423
32,100, , ,128,64,160,disabled,cores,31.999975,2180.573922238511,21281.636584520344
32,100, ,#pragma omp parallel for,128,32,80,disabled,threads,27.970809999999997,2185.597305164548,21577.53713607788
64,100, , ,96,8,80,disabled,threads,34.344185,2186.07429039146,21894.07197666168
48,100, , ,2,64,128,disabled,threads,30.9101,2192.4527132570647,22194.147620201107
48,100,#pragma clang loop unrolling full, ,96,2,80,disabled,sockets,29.43747,2198.769132487986,22477.256116151813
64,100,#pragma clang loop unrolling full, ,96,4,20,disabled,sockets,29.3548,2201.980153774879,22766.664051532745
32,100, ,#pragma omp parallel for,8,4,64,disabled,sockets,28.449985,2202.1683972354945,23042.433073759083
64,100, ,#pragma omp parallel for,96,256,10,compact,sockets,19.040705,2203.6664750837667,23227.367207765583
32,100, ,#pragma omp parallel for,16,2,160,compact,sockets,27.297195,2206.2147367844127,23493.55438137054
48,100, ,#pragma omp parallel for,64,4,10,compact,threads,18.99596,2206.350018310756,23688.652145862583
64,100,#pragma clang loop unrolling full, ,4,64,128,compact,threads,21.703375,2207.40328180448,23900.671283483505
48,100,#pragma clang loop unrolling full, ,8,32,160,disabled,cores,28.64899,2211.5410313866355,24201.53415369988
32,100,#pragma clang loop unrolling full, ,32,256,128,none,sockets,32.194565000000004,2220.3539840053663,24511.736768245697
64,100, , ,96,96,200,explicit,sockets,30.29465,2226.1184726162437,24801.769395112988
32,100,#pragma clang loop unrolling full, ,256,4,20,disabled,cores,32.299985,2228.5386035201195,25100.936450719833
64,100,#pragma clang loop unrolling full, ,2,8,128,scatter,threads,22.264355,2234.829984146005,25315.96108841896
48,100,#pragma clang loop unrolling full, ,256,96,128,disabled,cores,31.79792,2236.5700547938054,25622.644495010376
48,100, , ,256,32,80,scatter,cores,25.68287,2247.515774451629,25880.756766080853
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,20,balanced,sockets,24.039675,2258.327058331029,26127.663358926773
