p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
64,200,#pragma clang loop unrolling full, ,64,16,200,compact,sockets,-1.157165,True,-1,initial_sampling,Random_Sampling
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,explicit,threads,-1.5927616666666664,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,128,100,explicit,threads,-1.3870283333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,threads,-1.1409816666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,256,100,explicit,threads,-1.477191666666667,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,1000, , ,96,256,100,none,cores,-4.555499999999999,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, ,#pragma omp parallel for,96,128,100,explicit,threads,-1.4271500000000001,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,100,disabled,cores,-2.306385,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,128,100,explicit,cores,-1.1592399999999998,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,2000, ,#pragma omp parallel for,256,128,100,explicit,sockets,-1.448063333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, , ,96,128,100,explicit,threads,-1.3502083333333335,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
2,200,#pragma clang loop unrolling full, ,64,4,40,disabled,sockets,-4.492191666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,256,100,explicit,sockets,-1.3822466666666664,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,explicit,cores,-1.537535,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
128,2000, , ,256,256,100,explicit,threads,-1.396475,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,128,200,explicit,threads,-1.453335,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,2000,#pragma clang loop unrolling full, ,8,2,40,compact,cores,-1.2903566666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full, ,256,256,100,disabled,sockets,-1.3999483333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,200,none,threads,-4.691495,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,200,none,cores,-1.3384083333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000, , ,96,128,200,none,cores,-1.5711483333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, , ,96,128,200,none,cores,-1.674765,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000, , ,96,128,160,explicit,sockets,-1.5621416666666665,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000, , ,256,128,100,none,threads,-1.5672016666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1600, ,#pragma omp parallel for,256,128,100,none,cores,-1.7970383333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,128,32,100,explicit,cores,-1.5684250000000002,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,200, , ,96,256,10,explicit,sockets,-1.3082066666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,256,128,100,explicit,cores,-1.5670816666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,256,128,200,explicit,cores,-1.563,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1000, ,#pragma omp parallel for,256,256,200,none,sockets,-1.5793833333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,1000, , ,96,128,200,explicit,threads,-1.3556216666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,2000, ,#pragma omp parallel for,256,128,200,explicit,cores,-4.518145,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,96,256,200,none,sockets,-1.553845,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,200,explicit,cores,-1.6218533333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,200,explicit,sockets,-1.3214383333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, ,#pragma omp parallel for,256,256,100,explicit,cores,-1.4530216666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,none,cores,-1.3033133333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000, ,#pragma omp parallel for,96,256,200,explicit,cores,-1.6013533333333336,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000,#pragma clang loop unrolling full, ,256,128,200,none,sockets,-1.6250683333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000,#pragma clang loop unrolling full, ,96,128,100,explicit,cores,-0.5790583333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,100,explicit,cores,-1.2244233333333332,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,100,none,threads,-1.4388116666666664,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, , ,256,128,100,none,threads,-1.2366816666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,96,128,100,none,cores,-1.462835,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,256,128,100,none,cores,-1.3368183333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,100,explicit,cores,-1.2712716666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,256,128,200,explicit,threads,-1.4351450000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,200,none,sockets,-1.4604916666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800,#pragma clang loop unrolling full, ,4,128,64,explicit,cores,-1.6456766666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, , ,96,256,200,explicit,cores,-1.31185,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,none,threads,-1.4211883333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,explicit,sockets,-1.1233466666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,100,explicit,sockets,-1.2004733333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,2000, , ,256,256,100,none,cores,-0.5886116666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,cores,-0.857222520354078,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-0.6303558968574797,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full, ,96,2,200,none,sockets,-0.7453199036898843,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,100,none,sockets,-0.689213305925679,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,256,256,100,none,threads,-1.32772,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, , ,96,256,100,none,cores,-1.440735,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full, ,256,96,200,explicit,cores,-1.2394566666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,none,cores,-1.2190683333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,200,explicit,cores,-1.4245349999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full, ,256,256,100,none,cores,-0.7926368300677558,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
