p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
2,200, , ,8,16,40,explicit,sockets,-4.498358333333334,True,-1,initial_sampling,Random_Sampling
256,2000, ,#pragma omp parallel for,96,256,10,none,cores,-1.4079283333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,sockets,-1.4203999999999999,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1600, , ,128,4,200,none,sockets,-1.5195083333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,256,128,200,none,cores,-1.4275583333333335,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,1000, , ,96,256,100,none,threads,-4.47808,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,96,200,none,cores,-1.4524783333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
192,200, ,#pragma omp parallel for,96,32,100,compact,sockets,-0.9866966666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,cores,-1.4083733333333335,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-1.3979549999999998,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,threads,-1.354045,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000,#pragma clang loop unrolling full, ,16,16,80,none,cores,-1.4383533333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-1.3870116666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,96,128,200,none,threads,-1.4523833333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1000, , ,256,256,100,explicit,threads,-1.4239816666666665,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full, ,96,128,200,none,cores,-1.4556050000000003,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,100, ,#pragma omp parallel for,96,96,100,compact,sockets,-0.9617383333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,100,none,sockets,-1.1118666666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100, ,#pragma omp parallel for,96,16,100,balanced,sockets,-0.9527100000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,96,128,100,explicit,sockets,-1.482665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,4,256,200,none,cores,-1.3767183333333335,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000,#pragma clang loop unrolling full, ,256,128,100,explicit,threads,-1.459265,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,threads,-1.3062250000000002,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,none,sockets,-1.1434466666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,200,#pragma clang loop unrolling full, ,96,128,100,none,sockets,-1.1140316666666665,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1000, ,#pragma omp parallel for,96,64,100,compact,sockets,-1.151885,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,96,128,200,none,threads,-1.4071333333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400, , ,96,64,100,scatter,sockets,-1.1875466666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,threads,-1.3035216666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200, ,#pragma omp parallel for,96,8,100,explicit,sockets,-1.2411133333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,none,sockets,-1.5368466666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
48,1000, ,#pragma omp parallel for,256,128,100,scatter,sockets,-1.044005,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, ,#pragma omp parallel for,96,128,100,balanced,sockets,-1.219005,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400, ,#pragma omp parallel for,96,16,100,none,sockets,-1.273565,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100, ,#pragma omp parallel for,96,32,100,scatter,sockets,-0.9661266666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,100, ,#pragma omp parallel for,96,128,100,none,sockets,-1.1047016666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,100,disabled,sockets,-1.461355,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200, ,#pragma omp parallel for,96,64,100,compact,sockets,-1.0417983333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,200, ,#pragma omp parallel for,96,16,100,scatter,sockets,-1.0264550000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,none,cores,-1.32536,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,explicit,cores,-0.47993427787146176,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,200,compact,threads,-1.092680159726639e-16,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,200,compact,threads,0.08600542263507338,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,200,none,threads,0.08339827807728432,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,32,256,200,compact,threads,0.0521649257227982,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,32,256,200,none,threads,-1.379808333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
