p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
64,200,#pragma clang loop unrolling full, ,64,16,200,compact,sockets,-20.217899999999997,True,-1,initial_sampling,Random_Sampling
128,1000, , ,96,256,100,explicit,cores,-19.024538333333332,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,128,100,explicit,threads,-18.798563333333334,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,threads,-23.024786666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,256,100,explicit,threads,-18.414693333333332,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,100,compact,cores,-19.01056833333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, ,#pragma omp parallel for,96,128,100,explicit,threads,-18.826871666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,100,disabled,cores,-45.91958666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full, ,96,128,100,explicit,cores,-18.93734,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,2000, , ,96,128,100,explicit,cores,-18.81543166666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, , ,96,128,100,explicit,threads,-18.853511666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,640, , ,96,64,40,none,threads,-18.935773333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,256,100,explicit,sockets,-18.637173333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,256,128,100,none,sockets,-18.83736,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000, ,#pragma omp parallel for,96,128,100,none,cores,-19.05716166666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,256,100,none,sockets,-19.077961666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000, ,#pragma omp parallel for,96,256,100,none,sockets,-18.726068333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1600,#pragma clang loop unrolling full, ,256,256,100,none,sockets,-19.165080000000003,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
16,2000, , ,96,256,200,none,sockets,-12.748503333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, , ,96,256,200,none,cores,-18.483451666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,threads,-19.240451666666665,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,256,256,200,explicit,cores,-19.28264,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000, , ,256,2,100,none,threads,-18.82922333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
128,2000, , ,96,2,200,none,sockets,-18.362783333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,2,256,200,none,sockets,-19.04912,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,256,160,none,sockets,-19.251078333333336,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,2000, , ,96,256,160,none,sockets,-23.03632833333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,2000, , ,96,2,10,none,sockets,-18.833513333333332,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,96,2,100,none,sockets,-17.19086687916547,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
