p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
2,200, , ,8,16,40,explicit,sockets,-88.35335333333335,True,-1,initial_sampling,Random_Sampling
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-5.711268333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,sockets,-5.053541666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1600, , ,128,4,200,none,sockets,-5.6463600000000005,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,256,128,200,none,cores,-5.565160000000001,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,1000, , ,96,256,100,none,threads,-106.34576500000001,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,96,200,none,cores,-5.659386666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
192,200, ,#pragma omp parallel for,96,32,100,compact,sockets,-5.580935,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,cores,-5.679821666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-5.700528333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,256,200,none,threads,-5.635163333333334,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000,#pragma clang loop unrolling full, ,16,16,80,none,cores,-5.595228333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,none,cores,-5.692166666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, ,#pragma omp parallel for,256,256,100,none,cores,-5.660565000000001,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,256,128,200,explicit,cores,-5.640716666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,none,cores,-5.609828333333334,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,compact,sockets,-5.530118333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,8,64,10,scatter,sockets,-5.720091666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,100,none,threads,-5.595256666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,640, ,#pragma omp parallel for,96,64,100,compact,sockets,-5.52865,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,256,8,200,none,threads,-5.636471666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,800,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,compact,sockets,-5.601331666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100, ,#pragma omp parallel for,96,64,10,compact,sockets,-5.630541666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,100,none,sockets,-5.682166666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,800, ,#pragma omp parallel for,96,128,100,none,sockets,-5.656409999999998,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,1000, ,#pragma omp parallel for,96,64,100,compact,sockets,-5.628914999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,128,200,none,sockets,-5.643175,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,threads,-5.63948,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,100,explicit,sockets,-4.956966666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,128,100,none,sockets,-5.704036666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,256,128,200,explicit,cores,-5.639983333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,200, ,#pragma omp parallel for,96,64,100,compact,sockets,-5.672795,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
