objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
20.008608333333335,64,800,#pragma clang loop unrolling full, ,16,128,80,disabled,sockets
25.46605,64,100, ,#pragma omp parallel for,8,96,10,none,threads
17.512815,256,100,#pragma clang loop unrolling full, ,2,128,200,compact,cores
19.252645,48,1000,#pragma clang loop unrolling full, ,96,32,128,compact,cores
17.85399333333333,256,800,#pragma clang loop unrolling full, ,2,128,200,compact,cores
17.50194,256,100,#pragma clang loop unrolling full, ,2,4,200,compact,cores
18.080005,256,100,#pragma clang loop unrolling full, ,2,128,200,compact,sockets
18.492313333333335,256,100, , ,2,128,200,compact,cores
18.415795,256,100,#pragma clang loop unrolling full, ,32,4,200,compact,cores
17.81355166666667,256,640,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,200,compact,threads
52.796731666666666,4,100,#pragma clang loop unrolling full, ,2,4,10,compact,cores
28.86823,8,100,#pragma clang loop unrolling full, ,2,4,200,compact,threads
29.754166666666666,256,100, , ,4,4,200,balanced,sockets
18.038291666666666,256,100,#pragma clang loop unrolling full, ,2,4,160,compact,cores
17.63594666666667,256,100,#pragma clang loop unrolling full, ,2,4,200,compact,sockets
17.83428833333333,256,100,#pragma clang loop unrolling full, ,2,4,200,compact,threads
17.959686666666666,256,1000,#pragma clang loop unrolling full, ,2,4,80,compact,cores
17.552318333333332,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,40,compact,cores
18.07205,256,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,200,compact,cores
21.981781666666667,256,100,#pragma clang loop unrolling full, ,2,4,200,none,cores
17.725201666666667,256,400,#pragma clang loop unrolling full, ,2,4,200,compact,cores
18.067441666666667,256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,200,compact,cores
17.652628333333336,256,100,#pragma clang loop unrolling full, ,4,4,200,compact,cores
18.247871666666665,256,100,#pragma clang loop unrolling full, ,2,256,200,compact,cores
