p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
256,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4,6.1809400000000005,66.69432663917543
96,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,12.1195,157.0357327461243
256,sockets,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.9438,225.59841203689567
32,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.93459,288.50583052635193
128,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4,8.83398,362.2535750865936
2,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.10025,421.53206419944763
4,cores,master,static, , ,#pragma omp for nowait, ,4,16.9576,518.1879642009735
64,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4,6.27241,583.8682341575623
8,sockets,master,static, ,#pragma unroll,#pragma omp for, ,4,5.9149199999999995,645.4053907394408
256,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,7.246180000000002,718.5024237632751
96,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,4,5.81153,773.458114862442
192,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,4,10.4574,853.8753135204315
48,threads,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.5820000000000025,925.8918564319612
128,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,6.12144,991.9647889137268
48,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,4,11.4587,1073.1072957515717
4,threads,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4,5.76854,1138.2208640575411
2,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.77757,1203.0547413825986
128,threads,master,static, ,#pragma unroll,#pragma omp for, ,4,9.86849,1277.138799905777
32,sockets,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,6.01851,1343.7528245449064
48,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,4,5.8563199999999975,1409.75852560997
16,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,4,14.054,1493.4069702625275
96,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4,5.8783,1560.191594839096
96,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4,5.87289,1626.178670167923
