p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
192,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,17.1135,85.38896131515503
16,sockets,spread,static, ,#pragma unroll,#pragma omp for nowait, ,8,15.7748,158.44926881790158
2,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,15.8139,229.31363439559937
4,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.7374,300.3306803703308
32,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8611,371.129846572876
96,sockets,close,dynamic, ,#pragma unroll (6),#pragma omp for, ,8,15.7412,441.758367061615
64,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.6913,511.8002099990845
16,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8,15.7289,581.7813398838042
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8,16.4277,653.7292556762695
16,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8,15.8282,724.3927845954895
16,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8,15.8714,794.4655585289001
192,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.7537,864.700227022171
64,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8001,934.7831523418428
256,threads,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.8004,1004.8165035247804
4,threads,spread,dynamic, , ,#pragma omp for nowait, ,8,15.6835,1074.7444849014282
8,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.7779,1144.6687171459198
4,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,8,15.7665,1214.474125623703
192,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.7362,1284.5248963832855
48,threads,spread,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.6811,1354.480502128601
2,sockets,master,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.6122,1423.8226959705353
96,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,8,15.8432,1494.1798250675201
96,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8,16.2401,1569.1394264698029
