p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
8,threads,master,static, ,#pragma unroll,#pragma omp for, ,5.74638,6.092776506687625,45.190330266952515
128,cores,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.78884,6.094480087063566,85.33444094657898
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.78651,6.101854457689871,125.92999529838562
8,cores,close,static, , ,#pragma omp for nowait, ,5.68274,6.111855683211741,165.73069190979004
128,threads,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,5.85662,6.112281558571839,206.12917494773865
32,threads,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.68983,6.112645955895095,245.89611768722534
32,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.86128,6.114535800214256,287.0416326522827
128,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.70197,6.114925072578753,328.1684877872467
128,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,5.66925,6.122414005994324,368.8334183692932
48,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.77459,6.122870529044608,409.1425938606262
16,threads,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,5.73543,6.127401289036301,449.7412476539612
4,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.54119,6.127595075300546,489.8926885128021
4,threads,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.6263,6.1282479589379175,529.3756091594696
128,cores,close,static, ,#pragma unroll (6),#pragma omp for, ,5.87045,6.130175322492024,570.8176577091217
128,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,5.73804,6.136376058095859,611.4448752403259
128,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,5.90559,6.138736195846647,653.039071559906
4,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,5.67681,6.145613586053946,693.2979371547699
32,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.82847,6.147529719997796,734.0210773944855
