p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
96,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7598,14.637746669132152,72.90982270240784
4,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6704,14.70667599157369,142.58723640441895
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.0786,14.707662368377102,213.64579343795776
128,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,15.7046,14.712112113504492,283.36084961891174
128,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.2731,14.730098913147154,354.96448707580566
4,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6507,14.738248352090894,424.4212214946747
4,threads,close,static, ,#pragma unroll,#pragma omp for nowait, ,15.6594,14.748837072149637,494.0662593841553
128,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.651,14.753689076339779,563.5154712200165
128,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7264,14.757044638541158,633.2476718425751
128,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6666,14.760280108126416,703.1006298065186
32,threads,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7039,14.765762391634333,772.496910572052
32,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7252,14.769070544215367,842.1464364528656
8,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7333,14.774682621696655,911.8982937335968
4,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6992,14.786029794297313,981.5106408596039
4,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.7102,14.788827283281453,1051.2503051757812
128,threads,spread,static, ,#pragma unroll,#pragma omp for nowait, ,15.577,14.790746579682258,1120.9547510147095
16,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6743,14.795761562236592,1190.599681377411
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.654,14.797661018447155,1264.548576116562
4,threads,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.5805,14.800278070458784,1334.3424212932587
192,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.7008,14.800567000007762,1407.1828558444977
16,sockets,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.8254,14.800906262557719,1477.2255585193634
128,threads,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,16.3899,14.803425179437216,1548.7893385887146
192,sockets,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6318,14.805655380079362,1618.4577841758728
128,threads,master,static, , ,#pragma omp for nowait, ,15.704,14.809726758520021,1688.2682304382324
32,cores,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7139,14.81494027304958,1758.0196385383606
4,cores,master,dynamic, , ,#pragma omp for nowait, ,15.7165,14.816165678764701,1827.7064340114594
192,cores,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7409,14.816370163211943,1897.7139835357666
32,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,15.8655,14.817042007740302,1967.9824056625366
256,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6826,14.819489322672796,2037.6842725276947
128,cores,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7709,14.819997213346767,2107.822342157364
64,threads,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6781,14.823202384549415,2177.323971748352
8,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7089,14.82587005832306,2246.927838087082
128,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6632,14.82859690332062,2316.407532453537
192,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7194,14.83059474482664,2386.102536916733
192,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.5941,14.831093430116157,2458.5478916168213
192,cores,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7437,14.837629503078462,2528.0906291007996
128,threads,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7769,14.83851384195627,2597.8539447784424
128,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.664,14.839087676553095,2667.359753370285
16,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7627,14.844527972029729,2737.0030744075775
32,sockets,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7634,14.846492091151745,2806.934027194977
16,threads,master,static, ,#pragma unroll (6),#pragma omp for, ,15.59,14.847160929936116,2876.3497149944305
4,threads,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7946,14.850819911216494,2946.17906498909
192,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.6314,14.85142469416935,3018.474650621414
16,threads,master,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.594,14.853091729527815,3088.7558908462524
32,threads,master,dynamic, , ,#pragma omp for nowait, ,15.6159,14.853130133891392,3158.7662811279297
32,cores,master,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7886,14.85337088453245,3228.6975333690643
128,sockets,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6923,14.855199549749244,3298.167961835861
4,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6927,14.855942815276642,3367.8741590976715
96,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7409,14.856060522795872,3437.743869304657
16,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6789,14.858751375315045,3507.9356701374054
192,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6845,14.85922613842483,3577.7815868854523
192,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6097,14.860456379272645,3647.5156502723694
8,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6738,14.860820122375635,3716.9827539920807
192,threads,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7995,14.861405535638657,3786.786347389221
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6129,14.86182608786725,3856.1229162216187
192,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.7151,14.861831145211681,3928.560490846634
192,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.5218,14.861937412780115,4000.6724405288696
64,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6161,14.862243562197168,4070.2129504680634
2,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.746,14.862249105702313,4139.985769510269
4,sockets,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7384,14.86316015794955,4209.654230117798
96,cores,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6676,14.864736124437755,4278.967724561691
192,threads,spread,dynamic, , ,#pragma omp for nowait, ,15.7065,14.865554951928168,4348.664239883423
16,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6795,14.866021998316121,4418.181166172028
128,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6802,14.866122083811105,4487.576836109161
4,threads,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.636,14.86712782136231,4556.907600402832
4,threads,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6356,14.867180070789605,4626.26292514801
