p0,p1,p2,p3,p4,p5,p6,p7,objective,actually_measured,lookahead,model_name,acquisition_function
96,cores,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-26.0063,True,-1,initial_sampling,Random_Sampling
64,threads,master,dynamic, , ,#pragma omp for nowait, ,-31.063500000000005,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-20.30543333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
64,sockets,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-20.174266666666664,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,sockets,master,static, , ,#pragma omp for nowait, ,-20.167166666666667,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
64,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-32.373266666666666,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-21.3254,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
64,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,-21.172633333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-21.158733333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
64,sockets,master,dynamic, , ,#pragma omp for nowait, ,-20.183533333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-21.28493333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
64,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-20.94633333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,sockets,master,dynamic, , ,#pragma omp for, ,-20.130966666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
64,sockets,master,static, , ,#pragma omp for nowait, ,-20.108866666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,master,dynamic, , ,#pragma omp for, ,-20.159133333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,threads,master,dynamic, , ,#pragma omp for, ,-20.1678,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-23.972833333333337,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-23.8836,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-20.992333333333335,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,sockets,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-21.376666666666665,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,sockets,master,dynamic, , ,#pragma omp for nowait, ,-20.999866666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-24.90556666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,sockets,spread,static, ,#pragma unroll,#pragma omp for nowait, ,-21.135733333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,close,static, , ,#pragma omp for, ,-21.148366666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-21.09013333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
32,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,-24.31153333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,sockets,master,static, ,#pragma unroll,#pragma omp for, ,-23.857033333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,cores,close,dynamic, , ,#pragma omp for, ,-23.7762,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-23.6512,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
64,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,-16.0485,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-17.056033333333332,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,-16.9246,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,threads,master,dynamic, ,#pragma unroll,#pragma omp for, ,-15.699266666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
16,sockets,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.630533333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,-15.655266666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,-15.6708,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
96,sockets,master,dynamic, , ,#pragma omp for, ,-15.756833333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.062466666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,cores,close,dynamic, ,#pragma unroll,#pragma omp for, ,-15.746366666666667,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.732833333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
64,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,-15.97183333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,cores,master,dynamic, ,#pragma unroll,#pragma omp for, ,-15.6668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.655333333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
16,sockets,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.747533333333335,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,-16.512944996356964,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.485503413135902,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.474345735009564,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,cores,master,dynamic, ,#pragma unroll,#pragma omp for, ,-16.402117773599105,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,-16.413233816623688,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,-16.35709436643001,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,cores,close,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-5.378706637248048,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,threads,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-7.349971837594097,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,-15.9477,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
48,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-15.951633333333334,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,-16.298166666666663,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
16,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.676366666666667,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
