p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,8,50,130,0.0013115000000000002,3.8554043769836426
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,16,130,0.0014750000000000002,3.91339111328125
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,100,130,0.00139,3.9523653984069824
 , , ,8,20,256,130,0.0014575,3.9901022911071777
 , , ,8,32,256,130,0.001254,4.028404951095581
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,4,130,0.002096,4.066585063934326
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,20,130,0.001261,4.106497049331665
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,80,130,0.0013024999999999998,4.145701408386231
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,128,130,0.0006705000000000001,4.184779644012451
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,64,50,130,0.0014550000000000001,4.224579095840453
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,256,130,0.0015164999999999998,4.2637150287628165
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,4,16,130,0.001382,4.3032171726226816
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,20,130,0.0012025,4.343454599380493
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,4,130,0.001959,4.3831164836883545
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,130,0.001344,4.423028469085693
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,130,0.001182,4.462769031524658
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,256,130,0.001271,4.502975225448608
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,130,0.0012145,4.54336404800415
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,64,130,0.0006745,4.583296775817871
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,100,130,0.0013315,4.62401008605957
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,130,0.001144,4.664525508880615
 , , ,50,80,8,130,0.001218,4.705632209777832
 , , ,64,50,8,130,0.0012225,4.746279001235962
