p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,8,50,2000,5.7952755000000025,4.2042009830474845
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,16,2000,6.1980775,4.260284185409547
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,100,2000,5.577104500000001,4.300316333770752
 , , ,8,20,256,2000,9.1279535,4.3395605087280265
 , , ,8,32,256,2000,9.242844,4.3783276081085205
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,4,2000,9.0716525,4.416506767272949
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,20,2000,5.9742859999999975,4.45505428314209
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,80,2000,5.333157,4.493545293807983
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,128,2000,1.989511,4.532855033874512
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,64,50,2000,4.9049885,4.571314096450807
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,256,2000,8.502814,4.609945774078369
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,4,16,2000,4.4838445,4.649021625518799
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,20,2000,4.673441,4.688032627105713
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,4,2000,8.5321055,4.727536678314209
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,2000,4.6185705000000015,4.7668845653533936
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,2000,5.7548330000000005,4.8060035705566415
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,256,2000,5.007101499999999,4.8454627990722665
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,2000,8.492264500000001,4.884795904159546
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,64,2000,1.8023005,4.932832717895508
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,100,2000,4.984954999999999,4.972461938858032
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,2000,4.7586745000000015,5.012211322784424
 , , ,50,80,8,2000,4.547937,5.0516841411590585
 , , ,64,50,8,2000,4.909803,5.0913405418396
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,2048,100,2000,9.017584,5.130753517150879
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,2000,2.851994,5.17019510269165
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,20,2000,5.180625,5.209820508956909
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,16,2000,5.381954,5.249487638473512
 , , ,96,100,32,2000,4.564781,5.28974199295044
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,64,2000,5.2518460000000005,5.329809188842773
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,16,2000,2.968121,5.370656967163086
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,20,64,2000,6.607341,5.41069483757019
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,4,50,2000,7.574170499999999,5.450898170471191
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,2000,11.651036,5.491669654846191
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,100,2000,5.2315205,5.53248929977417
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,128,2000,5.82554,5.573345899581909
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,4,2000,10.961749,5.613706827163696
 , , ,16,50,4,2000,7.260574,5.6544251441955575
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,80,2000,1.6999425,5.6956377029418945
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,64,2000,1.83385,5.737139701843263
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,128,2000,4.8718575,5.778602838516235
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,80,128,2000,8.590135499999999,5.82406759262085
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,32,2000,8.2553575,5.86598539352417
 , , ,128,20,16,2000,4.9786665,5.907580852508545
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,20,2000,4.8610074999999995,5.948719501495361
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,2000,5.6224025,5.990400791168213
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,8,2000,7.647910499999999,6.031601905822754
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,64,2000,5.366428,6.0730957984924325
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,20,2000,5.305129,6.114981651306152
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,64,80,2000,4.750482,6.156782865524293
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,128,2000,6.116493999999999,6.198553800582888
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,128,2000,8.731913,212.8668873310089
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,64,2000,6.0357605,231.27291393280032
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,8,2000,11.877702000000001,301.01402878761286
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,50,2000,5.6934625,416.86989736557007
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,50,2000,7.616737,595.3379280567168
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,100,2000,1.7049690000000002,612.8931994438171
 , , ,100,100,256,2000,8.4191015,773.0763351917267
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,20,2000,4.7367754999999985,872.7228691577911
