p0,p1,p2,p3,p4,p5,objective,rank
 , , ,16,2048,4,0.001638,8155
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,8,0.00145,7164
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,64,0.0017120000000000002,8406
 , , ,4,50,4,0.001645,8184
 , , ,100,64,8,0.0013965,6696
 , , ,16,64,8,0.0013039999999999998,5247
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,32,0.001056,997
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,4,0.0017525000000000002,8532
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,80,0.001208,2872
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,32,0.0012025,2736
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,32,0.0013225,5619
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,32,0.001076,1045
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,32,0.0012215,3206
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,20,32,0.001146,1608
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,20,128,0.001193,2507
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,20,0.0012235,3259
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,100,0.0012725,4518
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,32,32,0.0012275,3350
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,100,4,0.0017425,8500
 , , ,16,20,32,0.0011785,2183
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,32,0.0011580000000000002,1788
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,32,0.0011734999999999998,2077
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,128,32,0.0012225,3235
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,32,0.0013904999999999998,6640
 , , ,16,20,8,0.0015105,7570
