p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
5,80,#pragma clang unrolling full,#pragma omp parallel for,256,16,80,scatter,sockets,M,4.11889386177063,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_000.c,mmp_000,0.881089909505691
6,100, ,#pragma omp parallel for,32,64,40,compact,threads,M,4.013638734817505,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_001.c,mmp_001,0.9041959328449728
5,10,#pragma clang unrolling full,#pragma omp parallel for,128,64,80,balanced,threads,M,3.926400423049927,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_002.c,mmp_002,0.9242857143724598
4,64, ,#pragma omp parallel for,16,2,128,compact,sockets,M,3.368570566177368,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_003.c,mmp_003,1.0773459390667677
8,40, , ,256,128,80,compact,threads,M,4.086694717407228,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_004.c,mmp_004,0.888032033435934
8,200, ,#pragma omp parallel for,8,8,100,compact,cores,M,4.434004068374634,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_005.c,mmp_005,0.8184737235167557
4,200,#pragma clang unrolling full, ,96,16,100,balanced,sockets,M,3.4872727394104004,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_006.c,mmp_006,1.0406745015718535
4,64, ,#pragma omp parallel for,16,32,200,scatter,sockets,M,3.4120726585388184,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_007.c,mmp_007,1.0636103574315907
4,80, ,#pragma omp parallel for,96,16,160,balanced,sockets,M,3.8685698509216313,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_008.c,mmp_008,0.9381026993906922
4,40,#pragma clang unrolling full,#pragma omp parallel for,96,2,40,scatter,sockets,M,3.5274198055267334,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_009.c,mmp_009,1.028830142146665
4,200, ,#pragma omp parallel for,64,32,20,compact,sockets,M,3.3442940711975098,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_010.c,mmp_010,1.0851664783867325
4,64, ,#pragma omp parallel for,8,2,64,compact,sockets,M,3.3714146614074707,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_011.c,mmp_011,1.0764370996761272
4,64,#pragma clang unrolling full,#pragma omp parallel for,2,2,10,compact,sockets,M,3.5919420719146733,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_012.c,mmp_012,1.0103492058814139
4,200, , ,4,64,20,compact,cores,M,3.5995802879333496,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_013.c,mmp_013,1.0082052710691551
4,64, ,#pragma omp parallel for,32,2,128,compact,threads,M,3.3522279262542725,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_014.c,mmp_014,1.082598170460965
4,64, ,#pragma omp parallel for,256,256,200,compact,cores,M,3.534741878509521,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_015.c,mmp_015,1.0266989626584286
4,64, , ,32,2,80,compact,threads,M,3.4690093994140625,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_016.c,mmp_016,1.0461533544832744
4,128, ,#pragma omp parallel for,256,16,80,compact,sockets,M,3.3076395988464355,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_017.c,mmp_017,1.0971920342218398
4,128, ,#pragma omp parallel for,256,2,80,compact,cores,M,3.584528923034668,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_018.c,mmp_018,1.0124387047374177
4,160, ,#pragma omp parallel for,256,8,80,compact,sockets,M,3.66064715385437,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_019.c,mmp_019,0.9913864044803827
4,64, ,#pragma omp parallel for,16,8,128,compact,threads,M,3.5813441276550293,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_020.c,mmp_020,1.0133390399171947
4,64,#pragma clang unrolling full, ,32,8,128,compact,sockets,M,3.3986380100250244,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_021.c,mmp_021,1.0678147567426013
4,64, ,#pragma omp parallel for,4,8,128,scatter,sockets,M,3.400926113128662,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_022.c,mmp_022,1.0670963435287473
4,64, ,#pragma omp parallel for,16,16,128,balanced,sockets,M,3.477064847946167,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_023.c,mmp_023,1.0437296911717584
4,200, ,#pragma omp parallel for,32,16,64,compact,sockets,M,3.4976911544799805,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_024.c,mmp_024,1.0375746913167894
4,200, ,#pragma omp parallel for,32,4,128,compact,cores,M,3.6106810569763184,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_025.c,mmp_025,1.0051056193177443
4,20, ,#pragma omp parallel for,256,16,10,compact,sockets,M,3.5558032989501966,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_026.c,mmp_026,1.0206177099285774
4,64, ,#pragma omp parallel for,2,2,128,balanced,threads,M,3.688426971435547,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_027.c,mmp_027,0.9839196622397997
4,200, ,#pragma omp parallel for,4,256,80,compact,sockets,M,3.3954427242279053,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_028.c,mmp_028,1.0688196252099231
4,200, , ,16,16,80,compact,threads,M,3.671342849731445,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_029.c,mmp_029,0.9884982058258319
4,160, ,#pragma omp parallel for,32,8,128,compact,sockets,M,3.551609754562378,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_030.c,mmp_030,1.0218227988784772
4,64, , ,2,8,128,compact,sockets,M,3.3280532360076904,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_031.c,mmp_031,1.0904620697367486
4,64, , ,96,8,10,scatter,sockets,M,3.453606605529785,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_032.c,mmp_032,1.050819110121062
4,20, , ,256,32,80,compact,sockets,M,3.5563130378723145,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_033.c,mmp_033,1.0204714211835166
4,64,#pragma clang unrolling full,#pragma omp parallel for,256,128,128,scatter,sockets,M,3.655551910400391,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_034.c,mmp_034,0.9927682355175569
4,64,#pragma clang unrolling full, ,64,64,128,compact,cores,M,3.345806121826172,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_035.c,mmp_035,1.0846760654350842
4,64, , ,128,64,128,compact,cores,M,3.271291255950928,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_036.c,mmp_036,1.1093832789511389
4,160, , ,128,64,128,compact,cores,M,3.71275806427002,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_037.c,mmp_037,0.9774716685302157
4,64, , ,4,64,128,compact,cores,M,3.643096208572388,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_038.c,mmp_038,0.9961624980947631
4,64, , ,256,128,128,scatter,sockets,M,3.3533411026000977,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_039.c,mmp_039,1.082238790774104
4,64, , ,2,64,128,balanced,sockets,M,3.3952121734619136,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_040.c,mmp_040,1.0688922030550503
