p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
192,1000, , ,64,16,200,disabled,threads,S,0.287975,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_000.c,mmp_000,0.654240819515583
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,10,compact,sockets,S,0.154005,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_001.c,mmp_001,1.223369371124314
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,balanced,cores,S,0.48464,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_002.c,mmp_002,0.3887524760647078
192,1600, ,#pragma omp parallel for,4,4,200,disabled,cores,S,0.482615,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_003.c,mmp_003,0.3903836391326419
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,40,none,sockets,S,0.3989,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_004.c,mmp_004,0.4723113562296315
96,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,40,balanced,sockets,S,0.178305,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_005.c,mmp_005,1.0566445136143126
64,1000,#pragma clang loop unrolling full, ,16,96,64,scatter,threads,S,0.17134,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_006.c,mmp_006,1.0995972919341659
8,1000, ,#pragma omp parallel for,128,4,10,none,sockets,S,0.260915,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_007.c,mmp_007,0.7220934020658069
8,1000,#pragma clang loop unrolling full, ,2,8,10,none,sockets,S,0.259135,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_008.c,mmp_008,0.7270534663399386
128,2000,#pragma clang loop unrolling full, ,32,32,10,compact,sockets,S,0.2869,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_009.c,mmp_009,0.6566922272568839
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,40,explicit,sockets,S,0.365635,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_010.c,mmp_010,0.5152816333228493
96,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,10,scatter,sockets,S,0.297975,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_011.c,mmp_011,0.6322845876331907
32,1000,#pragma clang loop unrolling full, ,32,8,160,scatter,cores,S,0.16659,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_012.c,mmp_012,1.1309502371090703
16,1000, , ,32,32,64,scatter,cores,S,0.16829,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_013.c,mmp_013,1.1195258185275416
48,1000,#pragma clang loop unrolling full, ,32,96,80,scatter,cores,S,0.16117,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_014.c,mmp_014,1.1689830613637773
