p0,p1,p2,p3,p4,p5,p6,p7,size,objective,source,id,filename,speedup
4,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,M,10.5748,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_000.c,mmp_000,0.8185970420244354
8,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,M,8.246039999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_001.c,mmp_001,1.0497766200503515
8,threads,master,dynamic, , ,#pragma omp for nowait, ,M,8.22921,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_002.c,mmp_002,1.051923574680923
192,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.23109,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_003.c,mmp_003,1.0516833129026653
16,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,M,8.23173,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_004.c,mmp_004,1.05160154669796
16,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.227219999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_005.c,mmp_005,1.0521780139585426
8,threads,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.246410000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_006.c,mmp_006,1.0497295186632727
192,threads,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.2491,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_007.c,mmp_007,1.0493872058770046
4,cores,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.240110000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_008.c,mmp_008,1.0505320924113875
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,M,8.23029,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_009.c,mmp_009,1.0517855385411692
128,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,M,8.23545,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_010.c,mmp_010,1.0511265322477823
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.24814,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_011.c,mmp_011,1.0495093439248122
2,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.24927,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_012.c,mmp_012,1.049365580227099
256,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,M,8.246080000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_013.c,mmp_013,1.0497715278047264
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,M,8.23725,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_014.c,mmp_014,1.0508968405717927
96,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,M,8.25779,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_015.c,mmp_015,1.0482828940915183
4,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.23899,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_016.c,mmp_016,1.0506749006856424
96,cores,spread,static, , ,#pragma omp for nowait, ,M,8.26488,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_017.c,mmp_017,1.0473836280744548
192,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.2234,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_018.c,mmp_018,1.0526667801639225
192,cores,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.259030000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_019.c,mmp_019,1.0481255062640527
192,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.23976,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_020.c,mmp_020,1.0505767158266743
192,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,M,8.23073,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_021.c,mmp_021,1.0517293119808329
256,cores,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.241810000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_022.c,mmp_022,1.0503154040192626
32,cores,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.24506,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_023.c,mmp_023,1.0499013955022765
4,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,M,8.30673,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_024.c,mmp_024,1.0421068218179717
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.249189999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_025.c,mmp_025,1.049375756892495
192,cores,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.24397,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_026.c,mmp_026,1.05004021120892
