p0,p1,p2,p3,p4,p5,size,objective,source,id,filename,speedup
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4.0,32.0,64.0,L,0.5867195000000001,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_000.c,mmp_000,0.33376596482646304
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4.0,64.0,100.0,L,0.588585,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_001.c,mmp_001,0.33270810503155873
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100.0,32.0,32.0,L,0.5665089999999999,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_002.c,mmp_002,0.34567323731838334
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16.0,128.0,256.0,L,0.480782,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_003.c,mmp_003,0.4073093418638801
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64.0,8.0,80.0,L,0.522202,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_004.c,mmp_004,0.37500239370971383
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8.0,64.0,128.0,L,0.8574885000000001,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_005.c,mmp_005,0.22837274202511168
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100.0,16.0,20.0,L,0.5056944999999999,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_006.c,mmp_006,0.3872436817090161
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20.0,64.0,32.0,L,0.4940744999999999,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_007.c,mmp_007,0.3963511575683425
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16.0,64.0,8.0,L,0.55566,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_008.c,mmp_008,0.35242234459921534
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20.0,64.0,128.0,L,0.5039965000000001,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_009.c,mmp_009,0.38854833317294857
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80.0,64.0,80.0,L,0.5554355,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_010.c,mmp_010,0.35256478925095713
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96.0,64.0,256.0,L,0.8093165,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_011.c,mmp_011,0.2419659057982878
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4.0,16.0,50.0,L,0.618109,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_012.c,mmp_012,0.31681628968353476
 , , ,50.0,50.0,100.0,L,0.605958,results_rf_l_syr2k,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/syr2k/mmp_013.c,mmp_013,0.32316926255615075
