p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4, , , , ,0.0053665,0.0001515000386363,7.0812859535217285
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005266,0.0001515028472357,14.0257089138031
 , , ,4,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0051855,0.0001515044977865,20.185564517974854
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005487,0.0001515051212126,26.54462718963623
 , , ,16,128,4, , , , ,0.0047175,0.0001515057886436,32.63494300842285
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005365,0.0001515255422397,38.66255736351013
 , , ,96,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0051655,0.0001515309761408,45.16399836540222
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0056855,0.0001515365450764,51.53894066810608
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4, , , , ,0.005304,0.0001515401953867,58.10065293312073
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0053089999999999,0.0001515431503293,63.87608218193054
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060655,0.0001515694200556,70.29125547409058
 , , ,20,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005504,0.000151641489499,76.19429278373718
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005355,0.0001517733109914,82.50219202041626
 , , ,32,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060875,0.0001517857577289,88.33880400657654
 , , ,80,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005768,0.0001519023554409,94.63822293281557
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004967,0.0001520938212177,101.01258969306946
 , , ,80,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058665,0.0001523288654544,107.44527959823608
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058755,0.0001526128620699,113.84172058105467
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0053645,0.0001526489792057,120.70264601707458
 , , ,50,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0049535,0.0001528814041051,127.24147129058838
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005581,0.0001530729295614,133.71700382232666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004752,0.0001533169461062,139.98043155670166
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0064104999999999,0.0001550663935892,146.90693378448486
 , , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057389999999999,0.0001552533160196,153.4411976337433
 , , ,16,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0053925,0.0001560387304838,159.54532670974731
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005112,0.0001561806879313,165.92067646980286
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005784,0.0001564175467559,172.26519465446472
 , , ,4,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005821,0.0001577279356919,178.50627970695496
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004923,0.0001577552008162,185.1240329742432
 , , ,16,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006113,0.0001581182059893,191.05093550682068
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00561,0.0001595465003446,197.1188898086548
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005715,0.0001611920056542,203.47378849983212
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005229,0.0001613567429171,210.01021194458008
 , , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0050935,0.0001651362808965,215.9250452518463
 , , ,8,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0049464999999999,0.0001673068485749,222.78043007850647
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,4, , , , ,0.0056735,0.0001677773622918,229.6668517589569
 , , ,64,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0056305,0.0001711600545873,236.04566931724548
 , , ,100,128,4, , , , ,0.004705,0.0001729886470928,242.2272653579712
 , , ,50,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005417,0.0001734915268737,248.5654420852661
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004289,0.0001752303745923,255.14151620864868
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0046805,0.0001757651824787,261.47091150283813
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060885,0.0001766408636441,267.7233526706696
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060615,0.0001770403294757,274.0144522190094
 , , ,80,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00588,0.0001793887168966,280.421546459198
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004775,0.0001794885097209,286.8030154705048
 , , ,64,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057765,0.0001810884080401,293.21798849105835
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0055595,0.0001816673902151,299.54833984375
 , , ,96,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005437,0.0001833711955331,305.8333411216736
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.004339,0.0001845414858207,312.26373958587646
 , , ,96,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005835,0.0001870158758782,318.5896070003509
 , , ,96,128,4, , , , ,0.0047374999999999,0.0001918174452943,324.76366686820984
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,4, , , , ,0.0052815,0.0001932708931021,330.93666410446167
 , , ,64,50,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058455,0.0001961156547694,337.5911202430725
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0066495,0.0001971473239077,344.2003264427185
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.005193,0.0001988922142062,350.6399881839752
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005606,0.0001995459100172,357.00515604019165
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0069505,0.0001999374829582,363.0066223144531
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005343,0.0002003273683991,369.3423433303833
 , , ,16,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058,0.0002048081852977,375.6545519828797
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , , , ,0.005115,0.0002071624498101,382.0209367275238
 , , ,80,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005232,0.0002078055074049,388.1296954154968
 , , ,80,32,4, , , , ,0.0051375,0.0002099243160551,394.4936935901642
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0048125,0.000210909470118,400.88086318969727
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0046394999999999,0.0002157165618844,407.2234525680542
 , , ,80,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.003772,0.0002171673345538,413.6800539493561
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005888,0.0002243702769087,420.23839235305786
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.003531,0.000225993425785,426.5028409957886
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4, , , , ,0.0053355,0.0002307629486013,433.0041401386261
 , , ,50,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0054135,0.0002445029536904,439.4214260578156
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.006007,0.0002517006989654,445.6913537979126
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057675,0.0002517084411542,452.10536074638367
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006821,0.0002566843275964,458.6590175628662
 , , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0052965,0.000265303067499,464.786376953125
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005427,0.0002668910945,471.1851806640625
