p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,100,#pragma clang unrolling full, ,2,128,128,balanced,threads,2.196324348449707,1.080724268330192,47.26026439666748
4,10,#pragma clang unrolling full, ,8,128,128,scatter,sockets,2.3423397541046143,1.1412915483819837,92.37473630905151
4,200,#pragma clang unrolling full, ,2,2,80,scatter,sockets,2.274856805801392,1.1458603762578403,137.3155961036682
4,10, , ,96,4,64,balanced,sockets,2.277703762054444,1.165409422750359,182.19528579711917
4,40, , ,2,128,20,compact,sockets,2.3252923488616943,1.187117560945845,227.4002995491028
4,200,#pragma clang unrolling full, ,8,96,10,balanced,sockets,2.3984310626983643,1.218244157101074,272.63565158843994
4,80,#pragma clang unrolling full, ,96,2,128,balanced,sockets,2.2709031105041504,1.2428920907621994,317.9875557422638
4,10,#pragma clang unrolling full, ,96,256,128,balanced,threads,2.31126070022583,1.247082762106275,363.11182165145874
4,40, , ,96,128,20,balanced,sockets,2.20717191696167,1.262733646332102,407.981294631958
4,64, , ,8,256,20,compact,sockets,2.359949111938477,1.2633616763311477,453.1544327735901
4,10,#pragma clang unrolling full, ,96,64,80,compact,cores,2.2941489219665527,1.280482379836045,498.3528118133545
4,40, , ,96,96,80,compact,sockets,2.4026730060577397,1.2836236799630258,543.6839075088501
4,200,#pragma clang unrolling full, ,96,96,80,balanced,threads,2.5353240966796875,1.2989954558697132,590.900064945221
4,80,#pragma clang unrolling full, ,2,96,80,balanced,cores,2.472711563110352,1.3086265680846678,638.1285855770111
4,80, , ,128,2,128,scatter,sockets,2.355323553085327,1.3299959196140454,684.7377660274506
4,80, , ,96,8,20,scatter,sockets,2.383056879043579,1.3408196385798532,730.6024305820465
4,10, , ,96,256,128,balanced,threads,2.2790632247924805,1.3423656896399383,775.6660778522491
4,40, , ,8,2,128,scatter,sockets,2.324016809463501,1.3424861502873466,820.7967278957367
4,64,#pragma clang unrolling full, ,8,256,160,compact,sockets,2.320737361907959,1.3658282389125556,865.9013812541962
4,10,#pragma clang unrolling full, ,8,8,64,balanced,sockets,2.297321557998657,1.40321762392186,911.2010459899902
4,10, , ,96,256,64,scatter,sockets,2.277514696121216,1.416710679290854,956.1379160881042
4,40,#pragma clang unrolling full, ,96,256,128,balanced,sockets,2.3204407691955566,1.4362200895900237,1001.5282835960388
4,200,#pragma clang unrolling full, ,96,2,64,balanced,sockets,2.3717498779296875,1.4464190331922404,1046.882936000824
4,10, , ,8,256,20,scatter,sockets,2.271501064300537,1.4497897816545875,1092.1228213310242
4,128,#pragma clang unrolling full, ,256,8,80,compact,sockets,2.340742588043213,1.4532733107772071,1137.2910389900208
4,10, , ,256,2,20,balanced,threads,2.30827260017395,1.458731210642128,1182.607809305191
4,100, , ,96,8,20,balanced,threads,2.3484020233154297,1.46562104418045,1227.809353351593
4,200, , ,2,128,20,balanced,sockets,2.2959556579589844,1.4685881082358043,1273.9283957481384
4,40, , ,96,96,20,compact,sockets,2.333832025527954,1.483212165520479,1319.352088212967
4,80, , ,96,256,128,balanced,sockets,2.3642868995666504,1.490938610589385,1372.42862200737
4,80, , ,96,2,20,balanced,threads,2.2784206867218018,1.4930324299235755,1417.6526634693146
4,40, , ,64,128,20,balanced,sockets,2.3647823333740234,1.4989146402560678,1462.877434015274
4,40,#pragma clang unrolling full, ,96,16,10,compact,threads,2.301105260848999,1.5000840539660971,1508.140201807022
4,10,#pragma clang unrolling full, ,96,64,160,compact,sockets,2.339966058731079,1.5263190157395314,1553.487671136856
4,40, , ,2,128,128,scatter,threads,2.333461284637451,1.5281331545835797,1598.5670793056488
4,200,#pragma clang unrolling full, ,8,96,160,scatter,sockets,2.412594079971313,1.5321335428385965,1644.01522397995
4,200, , ,8,96,80,compact,sockets,2.398420572280884,1.5330960621963303,1689.6429240703585
5,10,#pragma clang unrolling full, ,96,128,128,compact,sockets,2.51814079284668,1.562795504147768,1735.3759796619415
4,100,#pragma clang unrolling full, ,96,256,80,compact,sockets,2.453882932662964,1.569312009377687,1781.0417776107788
4,40,#pragma clang unrolling full, ,96,8,100,scatter,sockets,2.2516448497772217,1.5864558087306104,1826.1149878501888
5,200, , ,256,96,80,balanced,threads,2.617396354675293,1.5900031655824325,1872.1483719348907
5,40,#pragma clang unrolling full, ,256,16,128,compact,threads,2.5739681720733643,1.5944235953245474,1918.2238199710848
4,64, , ,8,16,20,balanced,sockets,2.452737331390381,1.61735437672013,1963.757792711258
4,10, , ,96,8,80,balanced,threads,2.2859857082366943,1.61907514702967,2008.7876529693604
4,200,#pragma clang unrolling full, ,96,96,64,compact,sockets,2.266160011291504,1.6283756714782798,2054.154808282852
4,40,#pragma clang unrolling full, ,128,96,64,compact,threads,2.441819190979004,1.6459254135292951,2099.769697666168
4,40, , ,8,96,10,balanced,sockets,2.3560822010040283,1.6536264335541364,2145.0348529815674
4,100,#pragma clang unrolling full, ,8,96,64,compact,sockets,2.264134645462036,1.655757162898246,2190.2471199035645
5,20,#pragma clang unrolling full, ,96,2,128,balanced,threads,2.51981782913208,1.6635805482786032,2236.07004737854
5,64,#pragma clang unrolling full, ,256,2,128,compact,threads,2.5052695274353027,1.6716299486754564,2281.9216496944427
4,80, , ,96,96,64,scatter,sockets,2.34241271018982,1.674791228782429,2327.176873683929
4,80,#pragma clang unrolling full, ,96,256,40,scatter,threads,2.233443021774292,1.6930797903801322,2372.388476610184
4,128,#pragma clang unrolling full, ,8,256,20,balanced,threads,2.363966464996338,1.7052267782200636,2417.767328977585
4,80,#pragma clang unrolling full, ,8,256,80,scatter,sockets,2.38999605178833,1.7060267507801217,2463.1512582302094
4,40,#pragma clang unrolling full, ,96,32,80,scatter,sockets,2.3581433296203613,1.708161814038049,2510.089813709259
4,100,#pragma clang unrolling full, ,8,8,80,scatter,sockets,2.2794058322906494,1.7108213758329986,2555.4360921382904
4,10, , ,8,256,80,compact,sockets,2.2788074016571045,1.7249425148701305,2600.669809103012
4,64, , ,8,8,20,balanced,sockets,2.440377950668335,1.7255739913421404,2646.079541921616
5,80, , ,8,32,80,compact,sockets,2.6694154739379883,1.7371924883411405,2692.205754518509
4,10,#pragma clang unrolling full, ,8,128,10,balanced,cores,2.229669570922852,1.741258263669522,2737.312333583832
4,40,#pragma clang unrolling full, ,8,128,20,compact,sockets,2.415744543075561,1.741727120474049,2782.7168481349945
5,80,#pragma clang unrolling full, ,128,16,10,compact,threads,2.6918838024139404,1.74631252545326,2829.0493762493134
4,80, , ,96,16,128,scatter,threads,2.3763253688812256,1.758391781210862,2874.3664162158966
4,160,#pragma clang unrolling full, ,128,256,10,scatter,threads,2.433157444000244,1.7584789117549238,2920.017364740372
4,40, , ,8,256,20,balanced,sockets,2.3571035861968994,1.7689549931014177,2965.2102370262146
4,80, , ,2,32,20,compact,sockets,2.300276041030884,1.769952095520654,3011.62397313118
4,200, , ,96,32,80,compact,sockets,2.362809419631958,1.784630671186508,3057.179357767105
4,200, , ,2,256,80,balanced,sockets,2.324967622756958,1.785768006016024,3102.667373418808
4,64, , ,96,256,20,scatter,sockets,2.3621692657470703,1.7964095014386792,3148.032920360565
