p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
6,10, , ,96,2,10,scatter,cores,-18.97595270474752,True,-1,initial_sampling,Random_Sampling
8,200,#pragma clang unrolling full, ,256,128,200,compact,cores,-19.51049002011617,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,256,128,200,scatter,sockets,-19.44471383094788,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,160, ,#pragma omp parallel for,4,96,160,balanced,cores,-19.491682370503742,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, ,#pragma omp parallel for,256,128,200,balanced,sockets,-19.40319077173869,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,96,256,100,compact,cores,-19.54387100537618,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full, ,256,128,200,balanced,threads,-19.73369876543681,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
6,160, ,#pragma omp parallel for,32,64,200,scatter,sockets,-18.83164056142171,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,threads,-19.49490523338318,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,balanced,sockets,-19.519269625345867,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,scatter,sockets,-19.502960522969563,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,160, ,#pragma omp parallel for,256,64,20,compact,threads,-17.818780024846394,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,sockets,-17.8278386592865,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,100, , ,96,256,100,balanced,sockets,-17.868428071339924,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100, , ,256,128,100,compact,sockets,-20.435959100723267,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
6,160, ,#pragma omp parallel for,32,32,200,scatter,sockets,-18.54208612442017,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200, ,#pragma omp parallel for,256,256,100,scatter,sockets,-20.60772983233134,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full, ,96,128,100,balanced,sockets,-20.388073682785038,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,96,96,200,compact,sockets,-21.333855152130127,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100,#pragma clang unrolling full, ,256,128,100,compact,sockets,-20.511871417363484,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100,#pragma clang unrolling full, ,96,256,200,balanced,sockets,-20.47763967514038,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, , ,256,256,100,balanced,sockets,-20.494531234105427,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,100, , ,256,256,200,balanced,cores,-20.37269099553426,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100, ,#pragma omp parallel for,256,256,200,scatter,cores,-20.62248468399048,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200,#pragma clang unrolling full, ,256,256,200,compact,cores,-20.21367327372233,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, , ,96,256,200,balanced,threads,-19.4495423634847,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,96,128,100,balanced,cores,-20.253096342086792,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,256,128,100,compact,cores,-20.620500326156616,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, ,#pragma omp parallel for,96,256,100,compact,cores,-19.496843417485557,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, ,#pragma omp parallel for,256,128,200,balanced,sockets,-14.999175823640831,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,256,256,200,compact,sockets,-18.689311795759423,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100, ,#pragma omp parallel for,96,128,200,balanced,threads,-16.404841622257315,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,256,128,200,compact,cores,-15.95350518271806,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,10, , ,96,256,100,balanced,sockets,-18.842615692930178,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,64,200,compact,sockets,-13.921072460411136,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100,#pragma clang unrolling full,#pragma omp parallel for,96,256,100,balanced,sockets,-20.560869375864662,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100,#pragma clang unrolling full,#pragma omp parallel for,256,128,200,compact,sockets,-20.64138380686442,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, , ,256,96,200,balanced,sockets,-20.534940004348755,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, ,#pragma omp parallel for,256,128,160,balanced,cores,-19.444610834121704,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, , ,256,32,100,compact,sockets,-19.406875530878704,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full, ,256,32,100,balanced,sockets,-15.556119704934732,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,256,256,100,compact,sockets,-17.712701249176064,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,256,10,balanced,cores,-15.544453990922014,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,balanced,cores,-13.6903568051468,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, , ,96,128,200,compact,cores,-14.70662198806095,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,10, , ,256,256,100,compact,cores,-15.54775324993785,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,256,200,compact,sockets,-19.459338188171387,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,10,balanced,cores,-19.416553894678756,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,40,#pragma clang unrolling full, ,256,64,100,balanced,cores,-19.91991090774536,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128, ,#pragma omp parallel for,256,128,100,balanced,sockets,-19.509918610254925,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100,#pragma clang unrolling full, ,96,128,100,compact,cores,-20.345739285151165,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,160,#pragma clang unrolling full,#pragma omp parallel for,256,16,100,compact,cores,-13.03120617526246,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, , ,96,128,200,balanced,cores,-14.625778842824436,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,96,2,200,compact,cores,-15.64932116642917,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,16,64,compact,sockets,-13.714140205172225,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,96,256,200,compact,cores,-16.07522413374233,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,100, , ,96,256,100,balanced,threads,-19.1945405305052,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,compact,cores,-19.49069293340047,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, , ,96,256,100,compact,threads,-20.35242867469788,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128,#pragma clang unrolling full,#pragma omp parallel for,256,256,100,compact,sockets,-19.572786649068195,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,8,64,compact,cores,-19.46793333689372,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,256,16,100,balanced,cores,-20.13672963778178,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,256,64,100,compact,cores,-11.19616350287926,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128,#pragma clang unrolling full,#pragma omp parallel for,256,96,100,compact,cores,-9.911368434683858,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,256,96,200,compact,threads,-16.034848790142494,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,64,#pragma clang unrolling full, ,256,128,100,compact,cores,-11.12867510430754,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
