objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
1.0108725,8,100,#pragma clang unrolling full,#pragma omp parallel for,128,2,20,compact,cores
0.9982665,8,80, , ,4,2,160,compact,cores
1.0031115,8,20, , ,2,64,100,scatter,threads
1.0002945,4,20, , ,32,64,40,compact,cores
1.0072,8,80, , ,4,2,160,compact,threads
0.999333,6,64, , ,4,2,160,compact,cores
1.0092555,6,80, , ,4,2,160,balanced,cores
1.0015135,8,80, ,#pragma omp parallel for,8,2,100,compact,cores
0.9999275,8,80,#pragma clang unrolling full, ,4,2,160,compact,cores
0.9987505,7,80, , ,4,2,10,compact,cores
1.0005645,8,80, , ,32,2,160,compact,sockets
1.006831,8,80, , ,4,2,160,compact,sockets
1.006205,8,80, , ,4,96,160,compact,cores
1.0055105,8,80, , ,4,96,160,compact,sockets
0.999532,8,80, ,#pragma omp parallel for,4,2,160,compact,cores
1.0023905,8,80, , ,4,2,160,scatter,cores
1.0041705,6,80, , ,4,2,160,compact,sockets
1.0110605,8,200, , ,4,2,160,compact,cores
1.0041015,8,80, , ,2,2,160,compact,cores
1.012898,5,20, , ,4,2,128,balanced,cores
0.9974465,8,80, , ,4,2,128,compact,cores
1.004916,8,128, ,#pragma omp parallel for,4,2,160,compact,cores
0.999459,8,80, , ,32,2,128,balanced,cores
1.0072015,8,80, , ,4,2,128,scatter,cores
0.995361,8,80, , ,4,2,128,balanced,cores
1.000008,8,80, , ,4,2,128,compact,sockets
0.99651,8,80,#pragma clang unrolling full, ,4,2,128,balanced,threads
0.997655,8,80, , ,4,4,128,balanced,cores
1.003631,8,80, , ,4,16,128,balanced,cores
0.998476,8,80, , ,4,8,80,balanced,cores
0.997329,8,80, , ,4,32,128,balanced,cores
0.997561,6,80, , ,4,2,128,balanced,cores
1.018081,5,80, ,#pragma omp parallel for,4,2,128,balanced,cores
0.9959815,7,80, , ,4,2,128,scatter,sockets
0.999501,8,100, , ,4,2,128,balanced,cores
1.0019915,4,128, ,#pragma omp parallel for,4,2,128,balanced,cores
1.0068415,8,80, , ,2,256,128,balanced,cores
1.0108955,5,80, , ,4,2,128,balanced,cores
0.990517,8,80, , ,2,2,128,balanced,cores
1.001804,8,200, , ,2,2,200,scatter,cores
1.005336,8,80,#pragma clang unrolling full,#pragma omp parallel for,2,2,200,balanced,sockets
1.0302585,8,200, , ,2,2,200,balanced,cores
1.007035,8,80, ,#pragma omp parallel for,2,32,128,balanced,sockets
1.0076595,8,80, , ,128,2,128,balanced,cores
1.031623,8,80,#pragma clang unrolling full, ,2,2,128,balanced,cores
1.0019844999999998,8,80, ,#pragma omp parallel for,2,2,128,compact,cores
0.9967855,8,80, , ,2,32,128,balanced,cores
0.99913,8,80, , ,2,2,64,balanced,cores
1.003405,8,80, ,#pragma omp parallel for,2,2,128,balanced,cores
1.018318,8,80, , ,2,2,128,compact,cores
1.001076,8,128, , ,2,2,128,balanced,cores
0.9985235,8,80, ,#pragma omp parallel for,2,2,128,scatter,cores
1.0053185,8,80, , ,2,2,80,balanced,cores
1.0034145,8,80, , ,16,2,128,balanced,cores
1.0058980000000002,8,200, , ,2,2,160,balanced,cores
1.0037455,8,80, , ,2,2,20,balanced,sockets
0.9985975,7,80, , ,2,2,128,balanced,cores
1.0178,8,80, , ,2,2,128,balanced,sockets
1.007096,8,200, , ,2,2,128,balanced,cores
0.9974405,8,80, , ,2,64,100,balanced,sockets
0.99999,5,80, , ,2,2,128,scatter,cores
1.0010425,8,128, , ,2,2,80,balanced,cores
1.0301535,8,80, , ,2,4,128,balanced,cores
0.9959835,8,80, , ,2,2,20,balanced,cores
0.994715,8,80, , ,2,2,128,scatter,sockets
1.014839,8,100,#pragma clang unrolling full, ,16,2,128,balanced,cores
1.001273,8,80,#pragma clang unrolling full, ,2,8,128,balanced,cores
1.005868,8,100, , ,128,2,128,balanced,cores
1.0037635,8,80, , ,2,64,200,compact,cores
1.000857,8,20, , ,2,256,128,balanced,cores
1.0118335,8,80, , ,2,16,128,balanced,cores
1.0022775,8,80, , ,2,2,160,balanced,cores
1.002732,8,80, , ,2,8,128,balanced,cores
0.997868,8,80, , ,2,2,200,compact,cores
1.007081,8,80, , ,16,2,128,scatter,cores
0.9973975,6,80, , ,2,2,128,balanced,cores
