objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
15.6025065,8,100,#pragma clang unrolling full,#pragma omp parallel for,128,2,20,compact,cores
15.521188,8,80, , ,4,2,160,compact,cores
15.5319015,8,20, , ,2,64,100,scatter,threads
15.534697,4,20, , ,32,64,40,compact,cores
15.603575500000002,8,80, , ,4,2,160,compact,threads
15.6119105,6,64, , ,4,2,160,compact,cores
15.6050595,6,80, , ,4,2,160,balanced,cores
15.4861785,8,80, ,#pragma omp parallel for,8,2,100,compact,cores
15.6331945,8,80,#pragma clang unrolling full,#pragma omp parallel for,8,2,100,compact,cores
15.5097625,7,80, ,#pragma omp parallel for,8,2,10,compact,cores
15.582675,8,80, ,#pragma omp parallel for,32,2,100,compact,sockets
15.551414,8,80, ,#pragma omp parallel for,8,2,100,compact,sockets
15.6419285,8,80, ,#pragma omp parallel for,8,96,100,compact,cores
15.6557315,8,80, ,#pragma omp parallel for,8,96,100,compact,sockets
15.5359775,8,160, ,#pragma omp parallel for,8,2,100,compact,cores
15.546132,8,80, ,#pragma omp parallel for,8,64,100,scatter,cores
15.572105,7,80, ,#pragma omp parallel for,128,2,100,compact,cores
15.5547725,8,80, , ,16,8,200,compact,threads
15.560269,8,80, ,#pragma omp parallel for,8,2,100,compact,threads
15.5714655,8,80, ,#pragma omp parallel for,8,2,100,balanced,cores
15.5598075,8,80, ,#pragma omp parallel for,16,2,100,compact,cores
15.576793,8,80, ,#pragma omp parallel for,8,2,80,compact,cores
15.433565000000002,5,80, ,#pragma omp parallel for,8,2,100,compact,cores
15.501928,8,80, , ,8,2,100,compact,cores
15.567755,8,40, ,#pragma omp parallel for,8,2,100,compact,cores
15.562232000000002,7,160, ,#pragma omp parallel for,8,2,100,compact,cores
15.6315625,5,80, ,#pragma omp parallel for,8,2,100,compact,sockets
15.573416,5,40, ,#pragma omp parallel for,8,2,128,compact,cores
15.4137175,5,80, ,#pragma omp parallel for,16,32,100,compact,cores
15.5910155,5,128, ,#pragma omp parallel for,16,32,100,compact,sockets
15.6063075,5,128, , ,16,32,160,compact,cores
15.580034,5,80, ,#pragma omp parallel for,16,32,160,compact,cores
15.548749,5,80, ,#pragma omp parallel for,16,32,100,compact,threads
15.516665,5,40, ,#pragma omp parallel for,16,32,128,balanced,cores
15.530266,5,80, ,#pragma omp parallel for,16,8,100,balanced,cores
15.483636,5,10, ,#pragma omp parallel for,96,32,100,compact,cores
15.483834,7,80, ,#pragma omp parallel for,16,32,100,compact,cores
15.7590285,5,80,#pragma clang unrolling full,#pragma omp parallel for,16,32,100,compact,cores
15.559056,5,80, ,#pragma omp parallel for,2,32,100,compact,cores
