p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,32,30,0.0036054999999999,11.761316776275637
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,128,30,0.0033204999999999,21.300514459609985
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,80,30,0.0035555,30.28033947944641
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,64,20,30,0.0047335,39.21368741989136
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,30,0.0036975,48.08366870880127
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,4,30,0.011226,57.45135140419006
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,30,0.0094565,66.99113130569458
 , , ,32,32,8,30,0.003076,75.54218530654906
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,32,50,30,0.003559,83.9809968471527
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,20,30,0.0046105,94.7879421710968
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,16,30,0.007622,104.49190092086792
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,64,30,0.003584,113.29818415641785
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,8,64,30,0.0036525,122.57369232177734
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,20,100,30,0.0042415,131.49871063232422
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,50,30,0.003191,139.89601254463196
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,128,30,0.004271,149.34069299697873
 , , ,96,80,16,30,0.0027225,157.6906673908234
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,100,64,30,0.003445,166.53433156013492
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,8,30,0.009581,176.12647080421448
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,32,30,0.0032915,184.9950716495514
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,30,0.00708,194.64002180099487
 , , ,80,2048,16,30,0.00273,202.8720555305481
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,80,20,30,0.0048315,211.91622734069824
 , , ,20,128,4,30,0.0034345,221.6202185153961
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,20,16,30,0.00644,231.04990673065183
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,30,0.0024235,239.7141828536988
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,30,0.002508,247.9398694038391
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,4,30,0.0152495,260.0852446556092
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,32,30,0.003293,268.5583648681641
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,2048,20,30,0.0069955,278.52412509918213
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,100,30,0.0034905,287.0169162750244
 , , ,20,80,100,30,0.002413,295.2239801883697
 , , ,32,128,128,30,0.0023545,303.2353503704072
 , , ,128,2048,100,30,0.002415,311.2376155853272
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,256,30,0.004304,320.7927086353302
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,256,30,0.005317,330.2374427318573
 , , ,100,64,80,30,0.0024075,338.25772738456726
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,8,30,0.0119865,348.4299886226654
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,32,50,30,0.003522,356.94173288345337
