p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,4,16,64,0.0024415,0.0002662753958857,10.864739894866943
 , , ,16,32,100,0.0024135,0.0002666715319943,19.08529162406921
 , , ,128,128,20,0.002711,0.0002950116585559,27.28697443008423
 , , ,80,50,32,0.0024435,0.0002965170590535,35.37038588523865
 , , ,20,20,32,0.001961,0.0002978254741765,43.909602642059326
 , , ,16,50,16,0.002858,0.0003127651206366,52.506298303604126
 , , ,96,128,16,0.002784,0.000337296851522,60.72203707695007
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,16,0.0029285,0.0005486157973516,68.98134088516235
 , , ,128,16,8,0.002575,0.0005589179885555,77.79183435440063
 , , ,32,100,100,0.00223,0.0005921667720042,85.7847089767456
 , , ,50,32,32,0.0024045,0.0006187995056657,93.74070835113524
 , , ,4,16,100,0.0019525,0.0007010583132774,103.122230052948
 , , ,8,64,4,0.003374,0.0007340762525259,111.6712248325348
 , , ,4,64,20,0.002694,0.0009437014350425,122.1160056591034
 , , ,32,100,20,0.002708,0.0009452592312358,130.31133842468262
 , , ,32,128,32,0.002446,0.0009857874466783,138.2798717021942
 , , ,4,100,32,0.0024225,0.0012366025403971,146.77571415901184
 , , ,16,32,64,0.002412,0.0012636961512003,154.94569301605225
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,20,0.0030635,0.0014193455049745,163.20134496688843
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,8,0.0029995,0.001462385524293,171.873220205307
 , , ,80,16,16,0.002698,0.0017761485071593,180.47591757774356
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,4,0.00362,0.0017971161294808,188.93568181991577
 , , ,96,80,32,0.0024115,0.0018031310461712,196.90056037902832
 , , ,4,80,64,0.0024145,0.0018882459132587,205.36703276634216
 , , ,96,64,64,0.002416,0.0019276963540349,213.34377098083496
 , , ,128,100,100,0.002395,0.0019581346338042,221.33671498298645
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,0.0023994999999999,0.0020731298138527,230.70492506027225
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,0.00266,0.0021497849939658,239.20706224441528
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,80,0.002593,0.0021838235448225,247.1878011226654
 , , ,16,128,100,0.0025,0.002304372708831,255.37133026123047
 , , ,128,50,16,0.0028205,0.0023871070425337,263.57834243774414
 , , ,128,100,64,0.0024035,0.0024763199550559,271.5441300868988
 , , ,4,32,256,0.0023455,0.0024802754026722,280.04253339767456
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,0.002504,0.0024913150255672,288.381906747818
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.002312,0.0024938983221757,296.8426740169525
 , , ,128,80,100,0.0024085,0.0025206588305195,304.8283672332764
 , , ,128,4,20,0.0026735,0.0026071900511235,315.8995943069458
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,0.0025989999999999,0.0027021706825419,323.90746569633484
 , , ,128,16,64,0.0024444999999999,0.0027306398308346,332.1134750843048
 , , ,100,8,4,0.0032975,0.003178038794039,340.58142042160034
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.002735,0.0032172641892103,348.816246509552
 , , ,50,16,100,0.0024555,0.0033285258665741,356.9623725414276
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,16,0.0027345,0.0034861757102313,365.5412063598633
 , , ,100,100,100,0.0027815,0.0035469729204833,373.5138142108917
 , , ,128,32,100,0.00212,0.0037942643736588,381.6571865081787
 , , ,4,100,100,0.002345,0.003879681819349,390.12745428085327
 , , ,16,128,4,0.003366,0.0039183955650066,399.3315935134888
 , , ,100,16,256,0.002451,0.0039613457151583,407.5088272094727
 , , ,32,2048,16,0.002719,0.0040751227288293,415.704295873642
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,32,0.0026765,0.0040831413522161,423.75480580329895
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,64,0.0026014999999999,0.0042065460892031,431.8210668563843
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,4,0.0034235,0.0042520013716714,440.41438388824463
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,80,0.0026214999999999,0.0043624958440523,448.4487900733948
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,64,0.0021644999999999,0.0045734886340596,457.00480103492737
 , , ,4,100,4,0.0028455,0.004603066743712,465.54448771476746
 , , ,16,128,64,0.0024245,0.00466796116237,473.75656747817993
 , , ,16,64,256,0.0024075,0.0046812869121451,481.8886785507202
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,100,0.0027015,0.0047728821481422,490.4589040279389
