p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,128,16,32,28.303242,1.5515451211521734,267.1451778411865
 , , ,32,100,256,14.610287,1.568368202457186,409.1487164497376
 , , ,4,4,256,15.493576,1.5689651366920976,556.9858677387238
 , , ,4,32,256,14.7082535,1.569469444543635,697.9773902893066
 , , ,8,4,20,32.878605,1.574433709452029,997.2787480354308
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,8,44.530514,1.5804031965995533,1402.9599618911743
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,31.9427325,1.5828434618397074,1702.2142906188965
 , , ,100,100,8,40.972932,1.5985392491091686,2084.3440613746643
 , , ,16,2048,20,31.876854,1.5998518501346155,2385.588570594788
 , , ,32,16,256,14.676422,1.6002992778615943,2526.35942029953
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,16,32.760009499999995,1.6025503674156476,2827.3732571601868
 , , ,4,20,256,14.5855195,1.605725324343669,2968.8541736602783
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,16,39.0249185,1.6069914386199144,3330.027158260345
 , , ,8,32,80,28.0496295,1.6127093954447014,3594.0902626514435
 , , ,50,128,256,14.690107,1.6131135007918602,3736.562555074692
 , , ,128,8,32,28.9169535,1.6140636173784968,4005.815566778183
 , , ,16,64,256,14.889119,1.614066586210842,4147.148976802826
 , , ,4,16,20,31.64566,1.615639291819849,4440.106726408005
 , , ,96,64,80,34.4610415,1.615726707854764,4761.295845746994
 , , ,64,50,256,15.0957095,1.615751450196108,4904.616032600403
 , , ,128,50,8,40.961737,1.616086494092042,5287.401442527771
 , , ,20,2048,32,31.565563,1.6162328515215754,5574.276643753052
 , , ,4,80,256,14.5602215,1.6166985748145513,5715.476207017899
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,47.4168075,1.6167295736940053,6152.884130716324
 , , ,128,100,4,42.8322385,1.61688665754224,6551.94734454155
 , , ,4,80,80,28.3794825,1.6168968088379858,6818.784929275513
 , , ,100,32,64,31.3521455,1.616967400689785,7113.358648061752
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,16,38.9385045,1.617068286346818,7474.643131494522
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,256,17.2979405,1.6174044336614102,7638.402600049972
 , , ,32,4,20,30.7078925,1.617617833400656,7926.884897947311
 , , ,128,8,80,27.611506,1.6178339075629131,8184.571359872818
 , , ,4,16,4,37.196494,1.6178431727738238,8525.137565135956
 , , ,128,80,100,34.917047,1.6178688959516372,8843.53676533699
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,31.947315,1.6178748865203123,9142.534988164902
 , , ,100,32,256,15.039856,1.6181273799494755,9285.868098258972
 , , ,96,100,100,35.843663500000005,1.6183247721395766,9619.883973360062
 , , ,100,128,32,43.2660895,1.618381602918821,10020.328999996183
 , , ,8,100,80,29.0395845,1.618499693181555,10294.811840295792
 , , ,32,64,256,14.647914,1.6191569188981123,10437.698135137558
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,20,47.1439705,1.619215898916304,10869.23662352562
 , , ,96,128,256,14.82395,1.6193766111201409,11014.431437253952
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,8,38.673043,1.6195890152514063,11368.331392288208
 , , ,50,8,256,14.875848,1.619666540055642,11511.617130994797
 , , ,4,16,64,29.354112,1.619769888358534,11787.49331688881
 , , ,128,16,100,28.0505155,1.619823184984851,12050.556572198868
 , , ,100,16,256,14.599604,1.6199595343685116,12192.9431579113
 , , ,128,80,256,14.8794555,1.6200531804036795,12337.89301753044
 , , ,8,100,128,21.957013,1.6200944562905633,12547.553768873217
 , , ,50,128,4,39.912195,1.6201394297302252,12917.312368154526
 , , ,16,32,20,30.628277,1.6202545838067872,13204.491918563845
