p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
32,1280, , ,96,96,20,none,threads,500000,0.906655,27.77169823646545
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,128,balanced,sockets,500000,1.256835,53.597416639328
16,100,#pragma clang loop unrolling full, ,64,128,200,none,cores,500000,0.56879,71.64701890945435
96,400,#pragma clang loop unrolling full, ,96,256,10,balanced,threads,500000,1.00734,93.30222368240356
128,1000,#pragma clang loop unrolling full, ,256,64,200,disabled,sockets,500000,1.21721,117.20609474182127
48,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,10,disabled,cores,500000,1.001375,139.48135280609128
192,2000, ,#pragma omp parallel for,32,256,100,explicit,threads,500000,1.412285,166.80396485328674
192,200, , ,8,96,40,compact,cores,500000,0.98387,188.47351837158203
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,100,explicit,sockets,500000,0.99,211.98677492141724
192,1280,#pragma clang loop unrolling full, ,64,128,20,balanced,sockets,500000,1.3453,236.67946076393127
64,1000, , ,64,256,100,balanced,cores,500000,0.99441,258.30309891700745
8,640, , ,16,8,100,explicit,threads,500000,1.104625,281.1557326316833
8,640, ,#pragma omp parallel for,2,64,64,scatter,threads,500000,1.095545,304.19798064231867
48,800, , ,32,128,160,balanced,sockets,500000,0.94428,325.56043505668634
4,200, , ,256,256,100,balanced,threads,500000,2.14851,357.8207838535309
2,400,#pragma clang loop unrolling full, ,128,32,40,compact,sockets,500000,4.408239999999998,410.6606795787811
4,2000,#pragma clang loop unrolling full, ,128,32,80,scatter,cores,500000,2.24934,444.0766112804413
4,1600, , ,128,16,160,compact,sockets,500000,2.64301,481.0442659854889
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,160,none,threads,500000,4.44037,534.3339371681213
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,64,balanced,threads,500000,1.21426,559.6670477390288
4,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,40,explicit,cores,500000,2.230055,593.1344096660614
96,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,100,balanced,threads,500000,1.0437299999999998,616.6714372634888
32,640,#pragma clang loop unrolling full, ,256,4,64,explicit,cores,500000,0.934505,637.9977927207948
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,20,none,cores,500000,0.5871149999999999,656.8619320392609
2,640, ,#pragma omp parallel for,256,2,200,explicit,sockets,500000,4.42689,710.1568074226379
192,1000,#pragma clang loop unrolling full, ,64,64,20,scatter,threads,500000,1.338145,734.6987144947052
32,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,100,none,sockets,500000,0.94567,756.5862417221069
256,800,#pragma clang loop unrolling full, ,2,2,20,none,threads,500000,1.53889,783.5804378986359
16,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,80,disabled,sockets,500000,0.597745,802.4449379444122
48,100,#pragma clang loop unrolling full, ,256,32,128,explicit,cores,500000,0.91016,823.8096699714661
16,200, ,#pragma omp parallel for,4,4,40,balanced,cores,500000,0.5840000000000001,842.511794090271
8,100, , ,64,16,128,scatter,cores,500000,1.1293799999999998,865.8106322288513
192,100, , ,256,128,200,explicit,cores,500000,1.11009,889.6651532649994
32,1280, , ,256,32,160,none,sockets,500000,0.958235,911.3028299808502
8,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,10,disabled,cores,500000,1.12959,934.9184787273408
256,800, ,#pragma omp parallel for,32,64,200,disabled,cores,500000,1.449975,963.4102129936218
64,1600,#pragma clang loop unrolling full, ,32,4,200,disabled,sockets,500000,1.1418400000000002,986.5976612567904
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,scatter,threads,500000,1.112855,1010.9270124435424
48,1280, , ,32,2,128,compact,sockets,500000,1.0843,1033.5024778842926
4,200,#pragma clang loop unrolling full, ,96,256,80,explicit,cores,500000,2.23599,1066.6351120471954
16,2000, , ,128,96,64,balanced,sockets,500000,0.60659,1085.1440632343292
2,400,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,200,compact,threads,500000,4.422365,1138.3638830184934
4,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,64,scatter,cores,500000,2.2405,1171.9364247322085
64,1600,#pragma clang loop unrolling full, ,2,16,64,none,cores,500000,1.1318,1195.3086104393003
48,2000, ,#pragma omp parallel for,8,4,40,scatter,threads,500000,1.1355,1219.0621201992035
16,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,200,compact,cores,500000,0.8252149999999999,1239.8864450454712
128,800,#pragma clang loop unrolling full, ,4,128,40,explicit,sockets,500000,1.240595,1264.2914533615112
4,1280,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,64,compact,threads,500000,2.649945,1301.577419757843
4,640,#pragma clang loop unrolling full, ,2,16,10,scatter,threads,500000,2.2319750000000003,1334.7298927307131
64,100, ,#pragma omp parallel for,32,16,100,none,cores,500000,0.948575,1356.7060918807986
128,800, , ,32,2,20,explicit,cores,500000,1.217475,1381.1880099773407
16,1600, ,#pragma omp parallel for,128,128,80,disabled,cores,500000,0.60033,1400.060824394226
64,2000,#pragma clang loop unrolling full, ,96,16,128,explicit,threads,500000,1.17023,1423.6922898292542
2,640,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,160,compact,threads,500000,4.41423,1476.8936114311218
96,1280, ,#pragma omp parallel for,32,64,160,explicit,threads,500000,1.24993,1501.9894218444824
8,640, , ,4,96,160,compact,cores,500000,1.4842,1528.3954002857208
16,400, , ,8,32,128,none,threads,500000,0.603925,1546.877372264862
48,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,10,none,threads,500000,1.1001949999999998,1570.5813584327698
4,2000,#pragma clang loop unrolling full, ,8,128,64,compact,sockets,500000,2.6677600000000004,1607.7558319568634
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,128,balanced,threads,500000,1.341475,1634.0861496925354
48,1000,#pragma clang loop unrolling full, ,128,64,20,disabled,sockets,500000,1.007165,1656.2868328094482
192,2000,#pragma clang loop unrolling full, ,2,32,20,scatter,sockets,500000,1.403435,1681.9714064598083
96,1000, ,#pragma omp parallel for,96,32,200,scatter,threads,500000,1.196105,1706.46204829216
256,1600, , ,16,8,128,compact,cores,500000,1.4048699999999998,1731.9130423069
128,1600, ,#pragma omp parallel for,256,96,20,compact,sockets,500000,1.15915,1756.964349985123
96,200,#pragma clang loop unrolling full, ,8,256,20,explicit,cores,500000,0.94622,1778.4896697998047
256,640, ,#pragma omp parallel for,64,128,100,disabled,threads,500000,1.4394900000000002,1806.075194120407
48,640, , ,64,16,40,scatter,sockets,500000,0.916075,1827.1753084659576
128,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,10,compact,threads,500000,0.945555,1849.3925631046293
96,400, , ,8,8,100,none,sockets,500000,0.99774,1871.9086651802063
32,100, , ,64,16,10,scatter,threads,500000,0.884215,1892.460556268692
64,1600, ,#pragma omp parallel for,2,96,128,scatter,threads,500000,1.059095,1915.2952625751493
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,200,none,cores,500000,1.60236,1943.6004452705383
256,400, ,#pragma omp parallel for,96,16,80,none,cores,500000,1.268895,1969.9146099090576
8,640, ,#pragma omp parallel for,8,8,20,balanced,sockets,500000,1.10022,1992.9918715953827
2,200, , ,256,2,80,scatter,sockets,500000,4.3944550000000016,2045.4742546081543
16,100, , ,4,96,10,explicit,sockets,500000,0.5696049999999999,2063.542038440705
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,64,disabled,sockets,500000,0.86485,2084.661152601242
128,800, , ,32,4,80,scatter,threads,500000,1.045615,2107.3856892585754
128,200, , ,128,128,40,disabled,threads,500000,0.94612,2128.9664816856384
8,1600, ,#pragma omp parallel for,16,8,80,none,cores,500000,1.1157849999999998,2152.228929042816
192,200,#pragma clang loop unrolling full, ,16,96,10,balanced,threads,500000,0.98583,2173.963160276413
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,100,compact,cores,500000,0.942095,2195.665238380432
16,100,#pragma clang loop unrolling full, ,16,32,160,disabled,sockets,500000,0.5687549999999999,2213.6917159557347
2,1000, ,#pragma omp parallel for,4,16,64,compact,cores,500000,4.387755,2266.389679193497
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,160,compact,threads,500000,0.939075,2288.073590040207
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,80,disabled,cores,500000,0.9006649999999999,2309.2768561840053
64,400, ,#pragma omp parallel for,16,64,64,disabled,threads,500000,0.948075,2331.287785291672
192,1600, ,#pragma omp parallel for,2,8,128,none,cores,500000,1.4337399999999998,2358.368445396424
96,400, ,#pragma omp parallel for,256,64,40,explicit,cores,500000,1.043895,2381.6775748729706
8,1000,#pragma clang loop unrolling full, ,128,32,10,scatter,sockets,500000,1.104465,2404.542939424515
128,100, ,#pragma omp parallel for,96,128,160,balanced,threads,500000,0.941975,2426.676500797272
96,200, , ,16,8,160,balanced,sockets,500000,0.94779,2447.797329425812
128,800,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,80,balanced,sockets,500000,1.096175,2471.5003871917725
2,800, ,#pragma omp parallel for,128,16,128,disabled,sockets,500000,4.390285,2524.228228807449
2,100, ,#pragma omp parallel for,96,32,20,compact,cores,500000,4.381625,2576.9226531982417
32,2000, , ,96,2,80,disabled,sockets,500000,0.93366,2597.972440004349
96,1000,#pragma clang loop unrolling full, ,4,2,100,disabled,threads,500000,1.199965,2621.473797798157
48,800, , ,16,2,40,balanced,sockets,500000,0.948005,2642.791520118713
4,800, ,#pragma omp parallel for,4,96,10,none,sockets,500000,2.18663,2675.746355056763
2,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,10,explicit,sockets,500000,4.376424999999999,3402.2042491436005
48,640, ,#pragma omp parallel for,128,128,64,scatter,threads,500000,0.997265,5186.793374300003
96,1280, , ,32,8,200,balanced,cores,500000,1.204615,7015.5567467212695
32,200, ,#pragma omp parallel for,32,32,64,explicit,sockets,500000,0.90323,8908.068455696106
4,1000, ,#pragma omp parallel for,256,4,10,none,cores,500000,2.194425,10820.928470134735
256,1600, ,#pragma omp parallel for,256,32,80,none,threads,500000,1.5011,11994.992334604263
192,2000, ,#pragma omp parallel for,96,4,160,disabled,sockets,500000,1.49071,13458.61147403717
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,128,scatter,cores,500000,1.09646,14920.663244724276
8,2000, , ,64,96,20,scatter,threads,500000,1.12848,15998.385397195816
8,1600, , ,4,64,64,scatter,threads,500000,1.11361,17176.209646224976
8,100, ,#pragma omp parallel for,96,8,80,disabled,threads,500000,1.099875,18706.36998653412
4,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,160,disabled,threads,500000,2.206,20806.26172852516
192,1600, ,#pragma omp parallel for,128,256,64,compact,sockets,500000,1.195055,22992.86671566964
2,1000, , ,8,32,200,explicit,sockets,500000,4.414185,24173.97250413895
32,1600, ,#pragma omp parallel for,256,256,200,balanced,cores,500000,0.944695,25954.276667594902
16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,160,explicit,sockets,500000,0.594605,27817.98858428001
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,40,compact,sockets,500000,0.949325,29017.37853097916
64,800, ,#pragma omp parallel for,8,96,128,balanced,sockets,500000,1.044775,30933.966803073883
96,1000,#pragma clang loop unrolling full, ,4,96,40,balanced,sockets,500000,1.08954,32757.764823436737
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,64,explicit,threads,500000,1.28971,34241.56417012215
32,1280, , ,2,8,160,disabled,sockets,500000,0.953935,34749.083293676376
16,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,128,scatter,cores,500000,0.630725,37040.74410200118
16,1600, , ,128,96,10,compact,cores,500000,0.797445,39070.11384701729
8,2000,#pragma clang loop unrolling full, ,4,64,10,balanced,cores,500000,1.13103,40139.22685289384
4,1280, , ,2,4,64,explicit,cores,500000,2.214105,41613.03250432015
4,1280, ,#pragma omp parallel for,32,96,80,disabled,threads,500000,2.1999150000000003,42675.09926867485
