p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,128,balanced,cores,0.95083,0.0408202913280963,25.55254864692688
32,100, , ,32,256,20,disabled,sockets,1.53205,0.0444308337025113,51.8191602230072
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,10,balanced,cores,1.13257,0.0450719071906764,76.46161150932312
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,10,balanced,threads,1.0992,0.0561468977486847,99.4579529762268
32,100, , ,64,4,10,balanced,cores,1.50141,0.0597601540755433,125.92488479614258
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,80,balanced,cores,0.87208,0.0608851629918274,149.51326370239258
48,100, ,#pragma omp parallel for,32,256,128,balanced,cores,0.963545,0.0720793766265304,173.21646881103516
48,100,#pragma clang loop unrolling full, ,96,256,10,balanced,cores,1.3502,0.0760835113812617,198.81582522392276
64,100, ,#pragma omp parallel for,256,16,128,balanced,cores,0.915745,0.0775993423668193,221.85087418556213
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,100,balanced,cores,1.448575,0.0831670103248327,248.51348733901975
32,100, , ,32,8,80,balanced,cores,1.58522,0.0894716442642897,274.91912865638733
48,100, , ,96,96,100,balanced,cores,1.46517,0.0929348426598881,301.2477169036865
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,100,balanced,cores,0.9922,0.0958386527608027,323.9579427242279
48,100,#pragma clang loop unrolling full, ,256,4,100,balanced,sockets,1.43662,0.096941410030005,349.91557931900024
64,100,#pragma clang loop unrolling full, ,8,16,80,balanced,cores,1.677595,0.0971166601338683,376.2498774528504
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,200,balanced,cores,1.146125,0.0975774425451695,400.7165977954865
64,100,#pragma clang loop unrolling full, ,128,16,200,balanced,cores,1.528935,0.1007713209928095,426.636682510376
32,100,#pragma clang loop unrolling full, ,256,4,64,balanced,threads,1.534175,0.1081881056159335,453.2401704788208
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,balanced,sockets,0.979015,0.109328974116705,476.33397817611694
32,100, ,#pragma omp parallel for,8,256,64,balanced,sockets,1.46821,0.1114469044146773,503.3523864746094
64,100, , ,16,32,10,none,cores,1.449755,0.1133870294196018,529.4198882579803
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,128,balanced,sockets,1.033815,0.1145656955186805,553.7164015769958
32,100, ,#pragma omp parallel for,96,2,200,balanced,cores,1.32211,0.1150790641165085,579.9161684513092
48,100, ,#pragma omp parallel for,4,32,80,balanced,cores,0.96339,0.1195712904591106,602.6597883701324
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,10,balanced,cores,1.27704,0.1203789414809463,627.0138630867004
64,100, , ,8,32,80,balanced,cores,1.445645,0.1220740088086517,652.6393480300903
32,100,#pragma clang loop unrolling full, ,128,256,200,balanced,cores,1.549975,0.1233055641961023,679.4445023536682
32,100, ,#pragma omp parallel for,16,256,200,balanced,cores,1.03192,0.1235348135149284,703.4138844013214
