p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
96,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.5139,14.771064348708965,72.8833875656128
128,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7413,14.77276792981622,142.66101336479187
4,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6425,14.780142303614674,211.91161489486691
128,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6885,14.78382557760374,281.90257501602173
96,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7226,14.79014353345547,351.5923521518707
128,threads,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.2699,14.790569408999907,423.0217432975769
4,sockets,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.7076,14.790933806480922,492.7354938983917
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.8342,14.792823651618654,562.97376704216
128,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,16.2813,14.800701860818553,634.2440230846405
64,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,15.6579,14.801158384067374,704.1978948116302
32,threads,close,dynamic, , ,#pragma omp for, ,15.5522,14.805689146031654,774.2297792434692
4,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6879,14.805882932380356,844.2128267288208
4,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.7409,14.806535816302327,914.0824880599976
128,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.3283,14.814663919010332,985.5493881702424
128,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,15.6622,14.817024057794342,1055.3803277015686
4,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.5714,14.82390145101856,1124.848246574402
4,cores,spread,dynamic, , ,#pragma omp for, ,15.6529,14.824445351793049,1194.588506937027
4,sockets,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,15.6722,14.825817585804598,1264.2420272827148
16,threads,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.686,14.826927304011676,1334.0773837566376
192,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,15.6011,14.828373574287152,1403.765201330185
4,cores,spread,static, , ,#pragma omp for nowait, ,15.6369,14.83298495502796,1473.1411607265472
